 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 6.tif (green),5866126,1127.077,1823.040,51162.762,3,5,2955,3050,3320.074,2249.644,124.465,4093.027,255,100,11,7,131.910,2938.574
2,Image 6.tif (green),2730,2015.934,26.712,411.262,1978,5,87,54,75.794,45.860,8.153,88.510,255,100,1990,54,32.074,53.419
3,Image 6.tif (green),2368356,3646.173,1500.054,26833.864,2512,5,1577,3050,3148.263,957.825,91.953,3364.274,255,100,2519,77,117.799,1576.924
4,Image 6.tif (green),21821,1848.614,67.861,944.465,1748,6,208,138,212.114,130.983,10.937,214.107,255,100,1749,102,21.652,138.000
5,Image 6.tif (green),6354,2131.774,51.910,519.002,2078,6,108,88,108.725,74.410,27.276,126.752,255,100,2078,90,34.066,86.204
6,Image 6.tif (green),218,2734.628,14.587,143.740,2706,6,54,17,54.008,5.139,168.878,55.543,255,100,2706,8,166.464,9.414
7,Image 6.tif (green),10731,1663.731,55.440,766.825,1567,8,165,107,137.991,99.015,164.599,168.268,255,100,1567,50,11.310,107.000
8,Image 6.tif (green),385,2673.316,21.549,110.326,2653,11,34,25,28.129,17.427,11.092,34.928,255,100,2653,22,13.241,23.526
9,Image 6.tif (green),100,2770.600,27.620,65.113,2760,22,21,11,19.543,6.515,160.932,22.847,255,100,2760,24,156.801,8.460
10,Image 6.tif (green),627,2434.945,43.387,167.296,2406,35,61,20,56.843,14.044,177.227,61.814,255,100,2406,45,170.690,18.965
11,Image 6.tif (green),3618,2233.885,84.745,427.404,2198,36,64,92,85.514,53.869,88.001,92.962,255,100,2222,36,101.793,64.000
12,Image 6.tif (green),4883,2674.084,83.859,496.902,2618,44,108,72,103.105,60.300,9.492,108.046,255,100,2618,77,172.020,69.592
13,Image 6.tif (green),10816,1591.426,144.243,1225.911,1523,52,151,189,148.435,92.777,125.672,190.646,255,100,1562,52,97.535,125.410
14,Image 6.tif (green),135,2435.604,57.856,84.284,2424,52,24,11,22.593,7.608,15.986,24.739,255,100,2424,61,14.036,10.687
15,Image 6.tif (green),16985,2851.664,135.629,671.169,2765,63,170,145,166.892,129.581,152.142,172.290,255,100,2765,118,170.647,137.668
16,Image 6.tif (green),204,2758.221,71.162,78.426,2748,64,21,17,19.353,13.421,8.754,22.136,255,100,2748,66,161.565,16.749
17,Image 6.tif (green),554,2045.188,83.767,202.066,2013,65,58,46,43.045,16.387,138.504,63.561,255,100,2013,75,155.854,30.105
18,Image 6.tif (green),21905,2363.227,159.697,2037.204,2207,73,285,205,238.050,117.161,24.771,302.703,255,100,2207,206,19.692,176.746
19,Image 6.tif (green),225,943.656,89.816,98.669,925,84,37,14,34.302,8.352,175.259,38.079,255,100,925,89,166.329,12.540
20,Image 6.tif (green),13539,2127.910,166.815,603.872,2052,109,154,121,148.697,115.929,2.480,154.806,255,100,2053,190,15.742,119.697
