,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
32,33,647,435,C2-Adipocites (2).tif,9201,4029.333,1554.891,1244.354,3978,1479,99,164,140.925,83.13,102.492,164.222,255,100,4005,1480,96.995,98.77600000000001,0.5667
33,34,648,409,C2-Adipocites (2).tif,9868,926.573,1482.369,964.69,866,1401,120,147,118.90299999999999,105.66799999999999,105.959,148.708,255,100,912,1401,102.821,117.663,0.5594
34,35,649,305,C2-Adipocites (2).tif,9912,3146.74,1141.475,1305.266,3074,1075,140,143,116.79,108.061,167.97099999999998,145.207,255,100,3142,1218,73.187,125.531,0.4951
35,36,650,400,C2-Adipocites (2).tif,9606,3105.2059999999997,1462.662,1631.457,3016,1383,161,147,134.362,91.02799999999999,160.829,179.025,255,100,3028,1393,144.09,125.73,0.4059
36,37,651,135,C2-Adipocites (2).tif,9939,1869.7979999999998,722.1419999999999,1254.053,1801,655,144,138,123.037,102.853,47.419,145.382,255,100,1801,716,172.093,121.156,0.5002
37,38,652,411,C2-Adipocites (2).tif,9546,3253.9570000000003,1480.3029999999999,771.495,3196,1408,101,150,137.496,88.398,98.93299999999999,152.611,255,100,3253,1409,102.488,100.40899999999999,0.6301
38,39,653,779,C2-Adipocites (2).tif,9843,2962.2209999999995,2858.3320000000003,842.365,2902,2799,136,121,128.59,97.461,153.535,144.014,255,100,2905,2810,152.72299999999998,109.454,0.5981
39,40,654,277,C2-Adipocites (2).tif,9752,2010.9189999999999,1076.945,1255.71,1949,1011,129,134,133.575,92.956,52.885,160.86,255,100,1965,1143,51.563,114.64299999999999,0.5642
40,41,655,629,C2-Adipocites (2).tif,10024,1021.368,2128.4210000000003,869.294,961,2062,125,141,122.915,103.836,76.821,145.33100000000002,255,100,990,2063,105.566,121.139,0.5687
41,42,656,638,C2-Adipocites (2).tif,9147,2263.075,2192.758,1257.367,2200,2108,127,159,148.517,78.418,67.965,169.544,255,100,2219,2265,67.822,98.47200000000001,0.453
42,43,657,724,C2-Adipocites (2).tif,9973,1280.0610000000001,2539.821,707.311,1220,2481,121,120,128.002,99.20200000000001,136.311,142.611,255,100,1224,2490,142.407,116.448,0.6868
43,44,658,329,C2-Adipocites (2).tif,9767,3938.7709999999997,1230.268,1208.153,3860,1154,140,139,135.35,91.87899999999999,44.736000000000004,151.489,255,100,3888,1286,51.163000000000004,112.281,0.5019
44,45,659,110,C2-Adipocites (2).tif,10101,3899.441,601.548,924.105,3837,534,121,135,125.26799999999999,102.66799999999999,58.055,143.618,255,100,3864,669,70.051,115.399,0.6184
45,46,660,94,C2-Adipocites (2).tif,9573,1009.423,514.5980000000001,886.205,940,451,133,135,145.469,83.789,43.863,170.082,255,100,940,563,41.18600000000001,101.24600000000001,0.5332
46,47,661,719,C2-Adipocites (2).tif,10195,1727.864,2513.901,756.323,1655,2456,137,117,128.05,101.37200000000001,18.116,141.039,255,100,1655,2524,18.178,110.98700000000001,0.636
47,48,662,676,C2-Adipocites (2).tif,9974,1195.123,2291.074,920.0210000000001,1114,2236,158,111,138.108,91.95200000000001,3.158,158.256,255,100,1114,2297,176.74,108.37299999999999,0.5687
48,49,663,621,C2-Adipocites (2).tif,10112,899.2760000000001,2127.473,956.205,843,2050,113,142,136.71200000000002,94.176,57.841,158.373,255,100,858,2190,55.808,107.738,0.6302
