,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
137,139,753,743,C2-Adipocites (2).tif,16026,2739.465,2729.947,1416.604,2649,2619,182,194,192.215,106.15700000000001,132.582,219.107,255,100,2649,2661,146.165,122.24700000000001,0.4539
138,140,754,500,C2-Adipocites (2).tif,16587,2778.3940000000002,1781.993,1609.315,2681,1687,183,174,183.24400000000003,115.25200000000001,149.428,214.979,255,100,2695,1699,134.246,136.088,0.5209
139,141,755,694,C2-Adipocites (2).tif,17554,2634.546,2409.822,934.69,2555,2329,156,173,162.594,137.46200000000002,103.74700000000001,177.34099999999998,255,100,2588,2337,111.501,148.322,0.6504
140,142,756,682,C2-Adipocites (2).tif,17976,2924.36,2364.051,1546.2020000000002,2844,2274,171,174,159.782,143.244,173.949,179.725,255,100,2909,2274,104.5,162.461,0.6042
141,143,757,523,C2-Adipocites (2).tif,17967,2960.828,1841.2620000000002,1253.0819999999999,2879,1749,165,176,161.234,141.882,148.69,186.03799999999998,255,100,2889,1778,129.766,159.769,0.6187
142,144,758,379,C2-Adipocites (2).tif,18055,696.357,1400.5870000000002,1392.497,596,1311,191,186,178.153,129.037,150.671,199.52900000000002,255,100,651,1316,118.10600000000001,147.191,0.5082
143,145,759,395,C2-Adipocites (2).tif,18213,2616.556,1454.3310000000001,1455.835,2528,1368,174,175,175.882,131.847,49.905,193.794,255,100,2546,1519,46.254,150.30100000000002,0.5981
144,146,760,484,C2-Adipocites (2).tif,18803,743.217,1726.479,1331.509,656,1641,167,172,166.796,143.533,79.362,190.801,255,100,656,1688,143.31,166.75099999999998,0.6546
145,147,761,558,C2-Adipocites (2).tif,19092,2836.375,1950.192,1279.141,2746,1857,182,172,165.203,147.144,4.6080000000000005,187.243,255,100,2788,2029,66.721,157.94799999999998,0.6099
146,148,762,625,C2-Adipocites (2).tif,19162,2598.1479999999997,2155.146,1435.533,2518,2058,169,183,171.84799999999998,141.97299999999998,124.81299999999999,185.324,255,100,2585,2058,111.859,164.894,0.6196
147,149,763,220,C2-Adipocites (2).tif,19201,2636.7090000000003,959.675,1372.68,2542,864,183,179,184.326,132.632,35.943000000000005,202.8,255,100,2546,1016,36.983000000000004,148.96200000000002,0.5862
148,150,764,417,C2-Adipocites (2).tif,18816,1853.57,1540.9129999999998,1752.227,1792,1438,131,209,193.49400000000003,123.814,88.035,210.04,255,100,1808,1441,101.256,131.0,0.6872
149,151,765,310,C2-Adipocites (2).tif,20209,1587.182,1180.039,1644.771,1498,1087,180,200,189.358,135.885,59.471000000000004,202.615,255,100,1574,1286,77.747,172.245,0.5614
150,152,766,781,C2-Adipocites (2).tif,20048,2703.204,2889.548,1385.734,2602,2804,191,176,192.97099999999998,132.278,141.702,201.201,255,100,2602,2865,159.944,147.379,0.5964
151,153,767,463,C2-Adipocites (2).tif,20985,2916.756,1672.099,1124.271,2839,1578,165,184,172.532,154.864,102.77600000000001,188.09599999999998,255,100,2869,1592,125.042,162.63299999999998,0.6912
152,154,768,292,C2-Adipocites (2).tif,21183,3384.0040000000004,1135.927,1313.592,3299,1036,169,197,184.24,146.391,83.397,197.497,255,100,3365,1036,94.065,159.928,0.6363
153,155,769,269,C2-Adipocites (2).tif,21972,3809.526,1128.06,2346.768,3719,1001,195,225,179.201,156.113,60.065,226.738,255,100,3740,1219,68.527,179.00400000000002,0.5008
154,156,770,190,C2-Adipocites (2).tif,22057,906.9639999999999,910.362,1561.558,816,817,185,187,179.855,156.14700000000002,58.523,211.06599999999997,255,100,826,970,33.991,163.77700000000002,0.6376
155,157,771,28,C2-Adipocites (2).tif,21311,3152.565,251.141,1901.263,3079,143,153,230,212.695,127.572,95.34200000000001,239.727,255,100,3122,149,117.31299999999999,148.864,0.6056
156,158,772,313,C2-Adipocites (2).tif,22690,1126.55,1217.738,2321.194,1036,1095,188,239,190.62099999999998,151.556,73.49600000000001,243.578,255,100,1101,1334,78.875,174.468,0.505
157,159,773,347,C2-Adipocites (2).tif,21759,545.191,1336.94,2005.908,440,1238,202,237,219.144,126.421,48.949,266.558,255,100,487,1475,62.762,144.203,0.4545
158,160,774,128,C2-Adipocites (2).tif,23733,1233.303,723.3739999999999,1509.391,1148,613,168,217,207.27,145.79,89.874,226.24099999999999,255,100,1182,830,73.568,162.519,0.651
159,161,775,160,C2-Adipocites (2).tif,24699,1547.3120000000001,842.487,1543.273,1450,740,188,213,188.071,167.21200000000002,90.855,213.928,255,100,1516,947,75.37899999999999,175.4,0.6168
160,162,776,117,C2-Adipocites (2).tif,25430,2970.2859999999996,655.9580000000001,1816.2089999999998,2866,560,216,206,189.47299999999998,170.887,29.969,221.054,255,100,2866,673,12.276,191.636,0.5715
161,164,778,88,C2-Adipocites (2).tif,25894,1912.4070000000002,530.437,2155.731,1805,434,227,199,186.408,176.86599999999999,39.935,229.99599999999998,255,100,1805,566,9.258,193.233,0.5732
162,165,779,217,C2-Adipocites (2).tif,24250,1064.549,977.8330000000001,2558.692,963,861,194,247,230.84799999999998,133.751,70.343,286.923,255,100,967,1087,48.532,155.512,0.5061
163,166,780,63,C2-Adipocites (2).tif,26128,3404.921,419.74699999999996,1536.545,3308,319,192,203,192.22400000000002,173.065,85.74799999999999,210.94299999999998,255,100,3373,319,107.662,184.775,0.6704
164,167,781,136,C2-Adipocites (2).tif,26272,3366.66,763.305,1424.119,3268,666,196,207,215.58,155.165,62.726000000000006,222.05,255,100,3298,846,45.73,165.925,0.6475
165,168,782,571,C2-Adipocites (2).tif,26535,1864.6529999999998,2026.479,1819.381,1767,1890,194,247,227.645,148.41299999999998,81.04,247.291,255,100,1841,2137,87.219,175.52,0.5538
166,169,783,66,C2-Adipocites (2).tif,23179,3070.0170000000003,455.892,2645.361,2993,325,151,292,265.165,111.29799999999999,98.071,294.593,255,100,3058,325,97.60700000000001,137.338,0.5257
167,170,784,324,C2-Adipocites (2).tif,27500,3037.808,1259.781,1696.729,2944,1140,185,231,218.209,160.461,100.801,238.248,255,100,2988,1145,111.935,180.429,0.6435
168,171,785,299,C2-Adipocites (2).tif,26054,2606.083,1157.627,2115.045,2470,1050,259,223,253.332,130.947,32.701,277.8,255,100,2507,1272,53.048,169.31799999999998,0.4511
169,172,786,686,C2-Adipocites (2).tif,25755,2780.9629999999997,2455.8320000000003,2897.552,2675,2297,184,283,257.092,127.551,88.464,293.68,255,100,2740,2579,73.78699999999999,183.01,0.4946
170,174,788,541,C2-Adipocites (2).tif,28529,2547.5460000000003,1913.261,1598.487,2443,1797,212,232,236.993,153.27100000000002,130.139,254.796,255,100,2452,1828,130.065,176.06799999999998,0.58
171,175,789,118,C2-Adipocites (2).tif,30500,3193.887,664.933,1586.2020000000002,3089,561,209,221,219.959,176.55,73.095,232.407,255,100,3136,758,53.574,193.365,0.6603
172,176,790,279,C2-Adipocites (2).tif,26813,884.533,1212.365,2351.052,795,1012,171,352,286.452,119.18,84.28,352.88699999999994,255,100,901,1364,85.93799999999999,163.138,0.4455
173,178,792,542,C2-Adipocites (2).tif,32272,3858.7329999999997,1894.695,1394.42,3741,1801,245,196,222.769,184.451,15.802,254.94299999999998,255,100,3746,1910,19.714000000000002,192.11599999999999,0.6721
174,179,793,44,C2-Adipocites (2).tif,32802,1955.4520000000002,320.997,1565.374,1846,210,224,224,218.033,191.553,139.578,232.775,255,100,1923,212,107.501,201.082,0.6537
175,182,796,222,C2-Adipocites (2).tif,32135,671.062,989.643,2285.8979999999997,544,869,248,264,271.812,150.529,131.534,290.524,255,100,610,869,120.626,188.553,0.4908
176,183,797,67,C2-Adipocites (2).tif,30286,1672.869,443.94599999999997,1704.9129999999998,1528,335,290,210,302.221,127.59299999999999,163.68200000000002,292.308,255,100,1530,415,170.15099999999998,156.906,0.4973
177,184,798,247,C2-Adipocites (2).tif,33264,1248.944,1069.797,2598.206,1136,924,229,284,285.825,148.178,118.04,308.28700000000003,255,100,1184,927,114.736,171.125,0.5115
178,185,799,133,C2-Adipocites (2).tif,37124,2750.987,765.405,2174.099,2635,653,256,237,234.00900000000001,201.99099999999999,38.263000000000005,267.421,255,100,2663,850,46.818000000000005,220.769,0.6119
179,186,800,529,C2-Adipocites (2).tif,38765,620.8290000000001,1940.146,2917.3259999999996,469,1768,288,308,241.6,204.293,138.048,321.069,255,100,610,1769,107.024,269.51099999999997,0.437
180,187,801,415,C2-Adipocites (2).tif,40108,556.067,1553.28,2620.13,426,1426,285,245,276.945,184.394,12.243,293.002,255,100,428,1605,16.456,233.423,0.5744
181,188,802,6,C2-Adipocites (2).tif,41299,3301.54,152.01,2929.711,3200,8,217,363,322.176,163.214,81.189,366.54699999999997,255,100,3286,371,78.35300000000001,212.828,0.5243
182,189,803,102,C2-Adipocites (2).tif,41075,1552.244,617.789,3548.211,1400,498,339,262,325.236,160.80100000000002,24.51,353.726,255,100,1400,671,16.590999999999998,199.831,0.4625
183,190,804,673,C2-Adipocites (2).tif,41809,3116.8590000000004,2433.022,5050.597,2999,2228,247,385,331.106,160.773,100.036,391.695,255,100,3081,2228,104.036,232.373,0.4397
184,192,806,388,C2-Adipocites (2).tif,46496,1583.2779999999998,1506.715,2489.135,1471,1347,226,312,294.034,201.33900000000003,81.414,314.949,255,100,1575,1659,82.15299999999999,213.33900000000003,0.6594
