 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 8.tif (green),182,263.687,11.027,91.941,244,7,37,11,31.199,7.428,178.163,37.216,255,100,244,11,6.170,11.000
2,Image 8.tif (green),3431,344.413,32.121,345.681,300,7,101,57,94.664,46.147,160.327,108.240,255,100,301,10,152.488,56.793
3,Image 8.tif (green),148,464.257,17.696,63.799,458,7,11,24,24.087,7.823,81.598,24.515,255,100,461,7,101.768,9.042
4,Image 8.tif (green),1724,716.349,27.033,339.037,674,7,95,44,73.111,30.024,177.762,96.338,255,100,674,10,170.440,42.091
5,Image 8.tif (green),219,779.358,15.208,88.870,768,7,32,18,24.714,11.283,24.969,33.615,255,100,771,25,30.379,16.297
6,Image 8.tif (green),990,1189.907,22.177,229.296,1154,7,60,41,46.777,26.947,155.354,67.201,255,100,1154,8,143.471,40.896
7,Image 8.tif (green),2640,1443.296,45.146,324.309,1416,7,63,75,66.848,50.283,83.436,78.746,255,100,1428,78,49.635,59.036
8,Image 8.tif (green),1344,1858.116,17.478,322.752,1810,7,107,29,99.031,17.280,2.661,107.299,255,100,1810,22,4.276,29.000
9,Image 8.tif (green),4188,2107.242,32.362,615.505,2038,7,129,63,105.577,50.507,169.274,129.190,255,100,2038,24,3.106,63.000
10,Image 8.tif (green),3289,2238.031,29.381,323.179,2188,7,102,57,92.507,45.269,5.302,104.561,255,100,2188,35,12.707,57.000
11,Image 8.tif (green),4861,2759.193,53.037,845.245,2693,7,131,106,112.335,55.096,141.829,146.240,255,100,2693,25,153.610,82.085
12,Image 8.tif (green),1955,2877.429,33.236,409.421,2825,7,94,58,79.097,31.470,154.480,101.390,255,100,2825,7,157.989,45.760
13,Image 8.tif (green),606,2979.850,21.800,136.811,2954,7,45,32,40.540,19.033,33.727,49.739,255,100,2954,34,30.174,24.494
14,Image 8.tif (green),5142723,2327.660,1811.360,89872.848,6,7,4078,3048,3363.485,1946.766,9.194,4888.019,255,100,13,2721,33.713,3048.000
15,Image 8.tif (green),2284,34.647,32.964,307.338,8,8,68,74,67.385,43.156,56.517,86.284,255,100,28,82,57.783,60.017
16,Image 8.tif (green),9662,1085.351,60.353,725.688,996,8,179,123,168.340,73.079,155.486,181.177,255,100,996,40,171.110,92.424
17,Image 8.tif (green),1171,850.655,41.669,336.551,825,9,51,66,50.997,29.236,83.084,70.803,255,100,834,67,53.616,45.233
18,Image 8.tif (green),118,2547.407,18.034,77.012,2534,9,23,21,17.710,8.484,149.175,26.401,255,100,2536,9,127.304,16.263
19,Image 8.tif (green),128,2575.000,18.258,79.113,2564,9,23,16,18.002,9.053,1.050,23.770,255,100,2564,22,14.621,16.000
20,Image 8.tif (green),4575,2621.647,55.865,709.002,2565,9,108,103,83.515,69.749,82.530,114.826,255,100,2565,43,160.145,100.652
21,Image 8.tif (green),5109,943.423,73.846,751.588,891,10,101,132,109.929,59.174,104.956,141.032,255,100,900,10,113.839,88.950
22,Image 8.tif (green),1003,1561.544,30.532,207.882,1537,10,40,57,46.938,27.207,90.356,61.098,255,100,1537,10,111.105,38.358
23,Image 8.tif (green),383,1731.907,20.020,122.912,1707,10,45,20,36.236,13.458,174.091,45.177,255,100,1707,18,174.920,19.403
24,Image 8.tif (green),2899,1775.146,47.541,389.279,1736,10,75,78,68.454,53.921,118.652,85.088,255,100,1754,10,113.552,64.857
25,Image 8.tif (green),349,1950.405,35.322,184.811,1936,10,38,51,42.777,10.388,68.958,60.216,255,100,1939,59,54.462,23.394
26,Image 8.tif (green),567,144.401,23.657,152.669,121,11,49,26,42.652,16.926,172.747,52.000,255,100,122,17,157.380,23.723
27,Image 8.tif (green),7166,1332.747,67.067,467.321,1281,13,104,115,111.699,81.684,51.894,126.246,255,100,1306,117,54.673,101.501
28,Image 8.tif (green),11381,2492.944,96.267,1211.051,2417,13,150,156,143.158,101.222,126.878,188.502,255,100,2441,13,128.755,116.454
29,Image 8.tif (green),279,800.203,28.220,132.669,786,18,35,21,29.018,12.242,1.763,35.511,255,100,786,32,9.728,21.000
30,Image 8.tif (green),109,3037.509,25.399,48.142,3030,18,12,15,15.507,8.950,93.740,16.155,255,100,3034,18,111.801,11.927
31,Image 8.tif (green),11241,1633.756,104.793,1343.034,1564,22,153,172,150.672,94.991,68.980,183.992,255,100,1586,183,50.513,127.785
32,Image 8.tif (green),1312,264.305,53.938,194.569,249,23,39,59,56.290,29.676,80.316,67.602,255,100,252,82,60.781,37.864
33,Image 8.tif (green),924,1241.701,57.503,184.024,1219,25,45,50,45.700,25.743,47.333,62.370,255,100,1223,72,48.900,33.758
34,Image 8.tif (green),105,1685.710,33.252,62.627,1677,26,20,12,19.070,7.010,178.187,21.190,255,100,1677,30,160.710,11.840
35,Image 8.tif (green),1043,108.920,51.411,209.296,80,28,59,39,44.963,29.535,7.680,59.076,255,100,80,60,177.089,38.984
36,Image 8.tif (green),125,1822.108,38.988,71.213,1812,32,23,17,15.240,10.443,43.950,23.022,255,100,1812,39,177.510,15.092
37,Image 8.tif (green),7962,572.591,118.172,857.387,525,35,110,147,121.883,83.174,85.285,168.119,255,100,532,177,57.633,108.510
38,Image 8.tif (green),118,3024.237,48.475,86.527,3014,39,21,22,15.216,9.874,116.850,23.707,255,100,3014,42,152.354,17.956
39,Image 8.tif (green),199,2549.937,56.214,71.255,2540,43,21,24,26.399,9.598,131.989,29.411,255,100,2542,43,125.311,11.371
40,Image 8.tif (green),171,440.447,54.716,71.698,430,47,23,15,22.347,9.743,175.847,23.854,255,100,430,48,146.976,12.988
41,Image 8.tif (green),13796,2038.839,123.549,749.630,1967,47,151,142,159.957,109.814,147.846,179.212,255,100,1980,47,131.607,124.849
42,Image 8.tif (green),5901,2356.135,112.061,1056.624,2293,47,121,142,113.911,65.959,113.959,169.499,255,100,2302,49,124.909,105.828
43,Image 8.tif (green),1801,2972.425,96.785,423.848,2928,49,87,91,87.582,26.182,134.554,103.600,255,100,2947,57,126.759,51.146
44,Image 8.tif (green),8600,1882.214,124.845,998.181,1806,53,144,129,114.285,95.812,20.149,152.634,255,100,1825,163,35.669,123.834
45,Image 8.tif (green),205,746.641,63.383,63.213,734,58,25,11,25.306,10.314,1.732,25.962,255,100,734,67,15.642,11.000
46,Image 8.tif (green),42935,748.794,225.025,3370.827,603,62,326,334,263.457,207.497,40.750,359.985,255,100,610,372,30.554,308.723
47,Image 8.tif (green),455,204.412,83.320,157.983,180,68,44,26,34.228,16.925,19.334,48.877,255,100,180,93,30.763,20.939
48,Image 8.tif (green),567,2286.096,82.922,172.426,2273,68,38,32,32.382,22.294,43.934,42.942,255,100,2273,73,152.241,30.982
49,Image 8.tif (green),224,2724.746,82.415,86.527,2713,70,28,22,27.346,10.430,146.304,35.609,255,100,2713,70,141.843,14.597
50,Image 8.tif (green),338,351.044,79.899,90.770,336,71,30,18,25.805,16.677,13.032,33.106,255,100,336,89,25.017,18.000
