 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6472,untitled3_green_thresh.tif:Green,1.104,38.127,10.730,9.521,37.365,10.010,1.854,1.667,1.433,0.982,37.821,1.979,0,3594,1108,30.343,1.377
6473,untitled3_green_thresh.tif:Green,1.112,14.813,9.689,8.931,14.240,8.885,1.219,1.656,1.428,0.992,98.120,1.657,0,1423,853,91.441,1.155
6474,untitled3_green_thresh.tif:Green,1.119,18.004,26.168,5.664,17.229,25.583,1.448,1.219,1.389,1.026,23.003,1.481,0,1654,2523,15.503,1.119
6475,untitled3_green_thresh.tif:Green,1.130,14.085,21.079,6.989,13.323,20.385,1.469,1.250,1.425,1.010,151.574,1.554,0,1280,1992,149.826,1.100
6476,untitled3_green_thresh.tif:Green,1.133,30.862,29.800,5.704,30.229,29.156,1.417,1.323,1.383,1.043,148.942,1.491,0,2906,2810,152.540,1.114
6477,untitled3_green_thresh.tif:Green,1.137,36.700,5.446,8.353,36.094,4.531,1.167,1.625,1.567,0.924,66.836,1.823,0,3481,588,60.945,1.059
6478,untitled3_green_thresh.tif:Green,1.140,39.941,15.136,7.281,39.219,14.396,1.448,1.406,1.493,0.973,32.788,1.634,0,3768,1493,35.920,1.053
6479,untitled3_green_thresh.tif:Green,1.144,33.875,12.655,7.379,33.167,11.875,1.333,1.479,1.294,1.126,85.216,1.486,0,3236,1143,102.965,1.237
6480,untitled3_green_thresh.tif:Green,1.155,12.593,25.134,5.402,11.792,24.562,1.417,1.260,1.287,1.143,178.688,1.463,0,1132,2414,14.432,1.225
6481,untitled3_green_thresh.tif:Green,1.157,37.940,13.250,8.652,37.229,12.542,1.635,1.417,1.372,1.073,20.842,1.678,0,3574,1278,12.915,1.185
6482,untitled3_green_thresh.tif:Green,1.157,12.774,21.787,6.743,11.979,21.167,1.490,1.198,1.307,1.127,168.262,1.520,0,1150,2086,168.536,1.192
6483,untitled3_green_thresh.tif:Green,1.162,27.977,19.497,8.200,27.115,18.615,1.510,1.656,1.641,0.901,124.015,1.979,0,2613,1787,123.188,1.044
6484,untitled3_green_thresh.tif:Green,1.172,28.191,21.179,6.466,27.521,20.479,1.323,1.417,1.447,1.031,124.781,1.569,0,2676,1967,125.272,1.095
