 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,hfd28 ep1 tip.tif  (red) thresh.tif,4287,1536.227,32.993,628.742,1455,6,143,67,108.781,50.178,4.697,143.892,255,100,1455,25,6.384,65.600
2,hfd28 ep1 tip.tif  (red) thresh.tif,3341,2881.597,27.834,324.167,2829,6,104,49,93.414,45.538,178.217,104.480,255,100,2829,16,174.508,49.000
3,hfd28 ep1 tip.tif  (red) thresh.tif,5589,1640.706,48.580,543.446,1592,7,103,90,90.259,78.841,30.846,111.615,255,100,1592,59,22.659,88.549
4,hfd28 ep1 tip.tif  (red) thresh.tif,9259,2599.688,63.246,1069.193,2503,7,184,130,163.795,71.974,148.420,189.024,255,100,2509,9,144.039,112.035
5,hfd28 ep1 tip.tif  (red) thresh.tif,10162,3337.723,85.348,963.009,3276,7,128,161,166.318,77.795,75.351,186.762,255,100,3276,146,46.736,105.189
6,hfd28 ep1 tip.tif  (red) thresh.tif,4886,3531.243,51.492,916.482,3434,7,173,103,157.336,39.540,152.029,197.368,255,100,3434,10,151.227,65.988
7,hfd28 ep1 tip.tif  (red) thresh.tif,9663,1801.923,51.300,1197.803,1697,8,198,96,172.182,71.455,173.750,199.218,255,100,1697,42,173.660,95.143
8,hfd28 ep1 tip.tif  (red) thresh.tif,4569,2166.981,39.398,463.706,2124,8,100,81,89.071,65.313,21.976,102.616,255,100,2125,50,15.255,80.670
9,hfd28 ep1 tip.tif  (red) thresh.tif,27235,3001.698,106.407,2690.584,2822,8,346,184,286.063,121.220,0.860,346.637,255,100,2822,101,176.527,170.317
10,hfd28 ep1 tip.tif  (red) thresh.tif,5389,2431.604,53.541,765.470,2377,9,109,90,93.055,73.736,19.114,119.570,255,100,2378,88,29.567,86.329
11,hfd28 ep1 tip.tif  (red) thresh.tif,3341,2770.982,44.032,496.860,2726,11,91,74,78.207,54.393,155.338,92.228,255,100,2726,37,170.640,61.415
12,hfd28 ep1 tip.tif  (red) thresh.tif,5361,2251.653,61.538,390.777,2196,18,115,97,129.873,52.558,43.180,139.521,255,100,2196,102,34.487,62.125
13,hfd28 ep1 tip.tif  (red) thresh.tif,6519,3233.957,72.706,500.576,3177,23,112,100,96.335,86.160,169.924,116.211,255,100,3177,88,15.471,87.969
14,hfd28 ep1 tip.tif  (red) thresh.tif,5371,3425.992,83.944,541.688,3382,34,93,99,87.334,78.304,123.116,101.843,255,100,3406,36,109.502,90.186
15,hfd28 ep1 tip.tif  (red) thresh.tif,4500,2315.233,101.324,897.009,2250,50,120,107,120.504,47.547,38.492,137.637,255,100,2254,148,35.538,65.679
16,hfd28 ep1 tip.tif  (red) thresh.tif,7614,2726.325,123.097,743.955,2672,53,112,134,115.019,84.286,72.302,134.648,255,100,2706,53,98.973,92.897
17,hfd28 ep1 tip.tif  (red) thresh.tif,5368,2531.877,113.720,684.600,2470,67,107,101,98.594,69.322,139.332,112.294,255,100,2500,67,118.163,89.595
18,hfd28 ep1 tip.tif  (red) thresh.tif,12864,2073.656,128.143,932.423,1969,78,208,104,205.435,79.728,176.867,208.959,255,100,1969,134,5.492,103.040
19,hfd28 ep1 tip.tif  (red) thresh.tif,4358,1572.128,129.600,779.855,1534,81,80,109,84.971,65.302,86.199,116.812,255,100,1546,81,111.073,79.339
20,hfd28 ep1 tip.tif  (red) thresh.tif,4701,3499.309,125.243,481.304,3458,81,87,98,97.681,61.276,56.828,106.042,255,100,3471,171,51.509,66.468
21,hfd28 ep1 tip.tif  (red) thresh.tif,8307,1770.897,141.601,638.458,1721,85,113,120,108.923,97.103,31.430,133.225,255,100,1729,199,37.988,110.648
22,hfd28 ep1 tip.tif  (red) thresh.tif,4646,1666.889,141.075,680.600,1620,87,83,102,91.123,64.917,83.025,109.128,255,100,1641,185,62.731,83.000
23,hfd28 ep1 tip.tif  (red) thresh.tif,4943,2394.826,149.761,451.362,2358,99,85,99,94.140,66.854,69.068,105.418,255,100,2364,194,46.922,80.154
24,hfd28 ep1 tip.tif  (red) thresh.tif,5222,2803.977,169.199,594.073,2756,113,95,101,91.750,72.467,56.971,107.154,255,100,2802,113,112.496,89.211
25,hfd28 ep1 tip.tif  (red) thresh.tif,7232,3578.655,163.809,552.032,3520,114,118,105,100.849,91.306,11.737,118.106,255,100,3520,170,2.426,101.418
26,hfd28 ep1 tip.tif  (red) thresh.tif,3109,2198.862,170.444,537.061,2162,121,77,89,77.214,51.267,58.135,90.554,255,100,2170,202,43.210,62.356
27,hfd28 ep1 tip.tif  (red) thresh.tif,3853,3214.674,169.911,407.664,3170,128,91,78,78.388,62.584,174.945,92.418,255,100,3171,168,13.134,73.383
28,hfd28 ep1 tip.tif  (red) thresh.tif,6383,2470.535,188.431,655.955,2418,133,108,118,109.552,74.185,57.685,125.399,255,100,2427,246,57.704,84.697
29,hfd28 ep1 tip.tif  (red) thresh.tif,6768,1875.115,184.683,506.333,1826,134,102,101,95.536,90.200,101.237,105.209,255,100,1846,229,53.893,99.962
30,hfd28 ep1 tip.tif  (red) thresh.tif,4185,3409.347,185.802,631.588,3366,141,87,90,79.411,67.100,66.281,96.426,255,100,3377,219,40.795,82.088
31,hfd28 ep1 tip.tif  (red) thresh.tif,8233,2626.902,194.256,501.304,2569,144,117,109,114.740,91.359,32.463,128.160,255,100,2590,252,57.426,98.206
32,hfd28 ep1 tip.tif  (red) thresh.tif,8631,2292.632,205.760,518.617,2230,150,121,111,120.085,91.513,33.617,133.600,255,100,2233,236,36.784,101.168
33,hfd28 ep1 tip.tif  (red) thresh.tif,12097,3331.551,240.371,1191.561,3251,159,175,164,174.845,88.092,131.463,187.723,255,100,3275,159,128.946,118.220
34,hfd28 ep1 tip.tif  (red) thresh.tif,4235,3021.696,211.798,431.463,2972,168,97,80,91.506,58.927,33.661,103.325,255,100,2982,240,42.647,68.613
35,hfd28 ep1 tip.tif  (red) thresh.tif,7358,3120.416,216.926,571.889,3068,169,110,101,101.998,91.850,61.327,114.621,255,100,3090,266,54.230,96.253
36,hfd28 ep1 tip.tif  (red) thresh.tif,3794,1164.481,200.715,319.421,1111,170,105,68,84.922,56.884,173.980,105.304,255,100,1111,201,4.357,64.531
37,hfd28 ep1 tip.tif  (red) thresh.tif,3273,2078.788,210.645,461.404,2026,171,98,78,86.307,48.285,156.263,99.464,255,100,2026,196,170.159,56.850
38,hfd28 ep1 tip.tif  (red) thresh.tif,4136,2906.902,221.388,568.517,2861,179,89,79,82.400,63.909,14.053,97.170,255,100,2861,245,23.663,75.307
39,hfd28 ep1 tip.tif  (red) thresh.tif,16385,2564.830,298.233,1471.869,2464,195,197,193,193.396,107.872,149.282,212.532,255,100,2533,195,118.374,149.833
40,hfd28 ep1 tip.tif  (red) thresh.tif,3643,2712.820,240.846,377.463,2674,199,80,80,85.433,54.293,56.407,94.810,255,100,2680,275,52.284,69.012
