 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 10.tif (green),5959368,2152.777,1597.380,122919.059,8,6,4070,3057,3921.536,1934.880,160.071,5081.400,255,100,10,10,143.128,3056.198
2,Image 10.tif (green),170,985.700,14.018,61.113,975,6,21,15,18.928,11.435,31.571,22.847,255,100,975,19,23.199,14.200
3,Image 10.tif (green),18231,1255.656,72.810,1221.879,1149,6,210,155,196.487,118.137,33.847,219.246,255,100,1149,96,16.699,150.980
4,Image 10.tif (green),5581,1588.716,42.695,534.274,1532,6,123,81,98.853,71.884,176.464,124.310,255,100,1532,30,8.326,81.000
5,Image 10.tif (green),938,1894.441,22.626,332.007,1860,6,82,38,51.638,23.128,15.475,82.608,255,100,1860,25,6.953,37.618
6,Image 10.tif (green),488689,2614.852,309.393,17407.899,1887,6,1333,929,1029.751,604.242,154.039,1376.504,255,100,1889,87,165.227,929.000
7,Image 10.tif (green),230,3350.248,11.791,68.284,3340,6,23,17,21.172,13.832,14.222,23.770,255,100,3340,6,165.379,17.000
8,Image 10.tif (green),921,3655.484,24.757,253.581,3631,6,51,45,37.349,31.397,139.708,56.727,255,100,3631,9,139.289,42.980
9,Image 10.tif (green),926,1386.658,23.097,217.823,1353,7,67,34,59.076,19.958,160.685,68.949,255,100,1353,10,160.514,25.342
10,Image 10.tif (green),326,3761.531,20.172,161.983,3742,7,33,26,25.058,16.565,5.714,35.777,255,100,3742,23,26.565,24.850
11,Image 10.tif (green),110,787.100,17.500,86.184,774,8,23,18,14.598,9.595,156.712,23.537,255,100,774,14,167.735,16.713
12,Image 10.tif (green),383,1698.745,18.944,158.326,1678,8,38,25,34.065,14.315,170.599,44.654,255,100,1678,8,145.954,25.000
13,Image 10.tif (green),552,1742.264,24.361,180.468,1723,8,34,36,32.793,21.432,94.049,43.186,255,100,1725,42,47.816,33.560
14,Image 10.tif (green),278,3071.705,16.892,103.598,3056,8,31,18,26.477,13.369,4.919,31.257,255,100,3056,18,7.352,18.000
15,Image 10.tif (green),212,3244.976,20.458,143.154,3227,9,34,23,26.249,10.283,157.485,38.013,255,100,3227,14,153.435,19.373
16,Image 10.tif (green),165,3806.064,21.179,73.355,3799,9,13,27,21.722,9.671,83.828,27.074,255,100,3808,9,94.236,13.000
17,Image 10.tif (green),133,3855.966,17.417,91.355,3845,9,21,18,17.439,9.711,171.074,25.456,255,100,3846,9,135.000,16.898
18,Image 10.tif (green),1516,3417.016,42.405,399.362,3386,12,86,59,59.004,32.714,0.815,91.679,255,100,3389,13,153.435,56.123
19,Image 10.tif (green),25303,3181.454,122.323,3527.486,3027,13,274,227,207.198,155.488,136.338,286.505,255,100,3027,53,146.532,223.477
20,Image 10.tif (green),121,3731.533,25.748,93.598,3723,13,20,22,15.343,10.041,110.015,23.854,255,100,3727,15,123.024,15.063
