 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Average Diameter
743,cells4.jpg,100,195.25,548.42,55.355,186,539,15,16,12.785,9.959,111.13,17,255,100,193,539,118.072,12.6,11.372
1071,cells4.jpg,100,285.58,769.65,43.113,278,763,15,12,14.449,8.812,18.98,16.553,255,100,278,774,25.017,10.883,11.6305
1325,cells4.jpg,100,2344.46,951.37,67.598,2338,943,17,19,14.369,8.861,59.703,20.248,255,100,2338,959,32.905,14.269,11.615
2515,cells4.jpg,100,1197.63,1904.48,50.627,1186,1900,22,8,21.021,6.057,10.056,22.091,255,100,1186,1906,5.194,7.155,13.539
2891,cells4.jpg,100,1681.8,2204.93,72.284,1675,2191,18,20,13.957,9.122,136.991,23.345,255,100,1677,2191,133.264,14.408,11.5395
866,cells4.jpg,101,3273.817,632.787,84.669,3264,623,19,20,18.218,7.059,54.508,26.87,255,100,3264,643,45,12.969,12.6385
1243,cells4.jpg,101,653.866,888.332,52.385,649,882,11,13,12.408,10.364,93.114,16.401,255,100,649,882,127.569,11,11.386
1265,cells4.jpg,101,2063.718,906.084,64.77,2054,897,17,18,15.031,8.555,123.167,19.849,255,100,2054,902,139.086,14.487,11.793
1633,cells4.jpg,101,3486.48,1178.104,54.87,3476,1171,19,12,15.446,8.326,170.732,19.416,255,100,3476,1177,168.111,11.126,11.886
3343,cells4.jpg,101,3388.916,2644.559,49.213,3383,2638,13,13,12.525,10.267,3.071,16.401,255,100,3383,2649,37.569,12.494,11.396
3380,cells4.jpg,101,3380.569,2687.064,65.012,3368,2681,22,12,17.629,7.295,158.659,22.561,255,100,3368,2681,167.196,10.59,12.462
3607,cells4.jpg,101,1313.203,2954.084,79.255,1301,2946,26,14,21.45,5.995,161.965,27.203,255,100,1301,2949,162.897,11.03,13.7225
3711,cells4.jpg,101,2044.005,3053.124,60.284,2039,3045,13,15,14.152,9.087,119.25,18.028,255,100,2041,3045,123.69,13,11.6195
334,cells4.jpg,102,1967.382,266.725,48.042,1961,260,13,14,14.324,9.067,120.667,17.205,255,100,1963,260,125.538,10.989,11.6955
394,cells4.jpg,102,2370.196,315.863,61.113,2366,306,9,20,17.757,7.314,91.824,20.396,255,100,2367,326,78.69,9,12.5355
1309,cells4.jpg,102,2862.784,937.52,56.284,2853,932,17,12,12.536,10.36,40.827,17.72,255,100,2853,940,16.39,12,11.448
2635,cells4.jpg,102,2244.529,1983.225,49.213,2237,1979,15,11,15.154,8.57,14.306,16.553,255,100,2237,1986,25.017,10.522,11.862
3617,cells4.jpg,102,1212.784,2962.931,54.527,1206,2957,16,13,13.982,9.288,5.128,16.125,255,100,1206,2961,172.875,12.075,11.635
3642,cells4.jpg,102,1465.363,2996.51,61.355,1459,2986,13,20,15.56,8.346,78.743,20.224,255,100,1464,3006,81.469,12.355,11.953
1606,cells4.jpg,103,4073.141,1164.898,59.941,4067,1153,12,23,16.472,7.962,115.792,25.08,255,100,4069,1153,113.499,11.088,12.217
2481,cells4.jpg,103,248.617,1878.5,53.456,242,1870,13,16,15.342,8.548,51.118,19.416,255,100,243,1886,55.491,11.523,11.945
2711,cells4.jpg,103,493.092,2047.413,77.255,483,2040,19,15,15.398,8.517,141.44,21.633,255,100,484,2040,146.31,14.084,11.9575
2835,cells4.jpg,103,1467.364,2158.189,58.042,1455,2151,21,13,19.706,6.655,30.392,23.324,255,100,1455,2163,30.964,9.54,13.1805
2949,cells4.jpg,103,4063.16,2246.083,53.113,4054,2242,19,10,18.192,7.209,5.766,19.698,255,100,4055,2252,23.962,9.758,12.7005
3219,cells4.jpg,103,1631.568,2506.646,61.941,1625,2499,12,16,13.894,9.439,99.977,16.155,255,100,1627,2500,111.801,11.963,11.6665
1518,cells4.jpg,104,1322.76,1104.106,79.497,1311,1093,23,17,19.556,6.771,31.099,26.627,255,100,1311,1110,34.287,12.075,13.1635
3676,cells4.jpg,104,3895.019,3022.404,48.87,3889,3015,12,16,14.802,8.946,107.055,16.492,255,100,3895,3031,75.964,10.912,11.874
3134,cells4.jpg,105,3488.529,2418.938,69.598,3480,2411,18,17,15.158,8.82,34.709,19.235,255,100,3485,2428,62.103,13.72,11.989
3525,cells4.jpg,105,1899.062,2869.005,75.497,1887,2857,26,22,25.699,5.202,140.871,34.059,255,100,1887,2857,139.764,8.38,15.4505
1263,cells4.jpg,106,2078.802,906.113,57.355,2073,896,12,20,15.785,8.55,110.212,20.224,255,100,2077,896,98.531,11.13,12.1675
1156,cells4.jpg,107,2869.182,833.164,69.255,2863,822,12,24,20.951,6.503,77.992,25.298,255,100,2863,846,71.565,10.357,13.727
1745,cells4.jpg,107,328.023,1267.229,61.598,322,1255,13,22,17.03,8,75.053,22.804,255,100,326,1277,74.745,12.355,12.515
146,cells4.jpg,108,746.583,94.796,66.77,735,85,20,16,15.371,8.946,10.406,20.616,255,100,736,93,157.166,15.454,12.1585
273,cells4.jpg,108,1953.824,221.287,94.912,1945,210,20,18,14.504,9.481,150.654,25.612,255,100,1945,210,141.34,15.652,11.9925
439,cells4.jpg,108,2919.833,350.722,60.284,2907,342,21,14,17.385,7.91,22.083,23.259,255,100,2907,354,25.463,12.317,12.6475
1128,cells4.jpg,108,1910.37,812.037,81.841,1905,800,12,25,18.637,7.378,77.797,25.179,255,100,1910,800,96.843,10.449,13.0075
1458,cells4.jpg,108,1190.167,1053.889,77.497,1181,1047,20,14,17.924,7.672,24.594,23.324,255,100,1181,1060,30.964,12.691,12.798
1785,cells4.jpg,108,2115.806,1297.528,94.083,2104,1287,21,19,15.591,8.82,155.118,24.207,255,100,2104,1291,141.71,14.038,12.2055
2331,cells4.jpg,108,1782.991,1776.315,64.527,1777,1761,10,26,22.469,6.12,88.93,26.077,255,100,1782,1787,85.601,9.778,14.2945
2546,cells4.jpg,108,1291.417,1925.491,75.255,1281,1918,22,16,20.393,6.743,32.407,26.627,255,100,1281,1933,34.287,9.707,13.568
2633,cells4.jpg,108,39.509,1988.046,58.527,31,1978,15,19,17.189,8,49.882,21.213,255,100,31,1993,45,11.651,12.5945
2742,cells4.jpg,108,524.574,2070.315,90.083,511,2065,25,11,19.773,6.955,7.684,26.926,255,100,511,2076,21.801,11,13.364
3416,cells4.jpg,108,2380.352,2726.407,91.983,2364,2720,30,15,19.374,7.098,0.316,30.067,255,100,2364,2725,176.186,14.394,13.236
3596,cells4.jpg,108,3795.12,2944.046,50.284,3788,2935,14,15,13.24,10.386,151.736,17.692,255,100,3790,2935,132.709,12.296,11.813
884,cells4.jpg,109,790.72,644.335,72.426,781,636,23,14,17.595,7.888,16.761,24.698,255,100,781,646,21.371,12.159,12.7415
2034,cells4.jpg,109,380.472,1495.087,51.456,368,1490,21,10,18.167,7.639,6.017,21.587,255,100,368,1496,13.392,9.414,12.903
2457,cells4.jpg,109,1267.069,1866.775,58.77,1261,1855,14,21,19.194,7.231,117.308,23.707,255,100,1264,1855,117.646,9.969,13.2125
2718,cells4.jpg,109,1186.142,2049.94,50.042,1179,2045,14,12,13.521,10.265,1.891,15.811,255,100,1179,2047,145.305,12,11.893
2957,cells4.jpg,109,1353.307,2254.959,55.113,1346,2248,16,14,14.406,9.634,156.916,17.804,255,100,1348,2248,141.843,13.864,12.02
3105,cells4.jpg,109,1404.766,2389.041,49.698,1398,2384,15,14,13.325,10.415,20.057,15.524,255,100,1398,2391,14.931,13.17,11.87
3583,cells4.jpg,109,3388.867,2932.472,82.083,3375,2925,29,12,23.481,5.91,167.227,29.275,255,100,3375,2931,172.147,10.429,14.6955
96,cells4.jpg,110,608.409,54.273,47.698,603,45,12,17,16.303,8.591,78.648,18.028,255,100,604,62,70.56,11.18,12.447
250,cells4.jpg,110,2807.545,195.636,46.042,2798,190,16,11,13.512,10.365,18.292,16.279,255,100,2798,195,10.62,11,11.9385
683,cells4.jpg,110,4063.673,511.009,93.497,4046,501,28,19,18.129,7.726,170.898,28.636,255,100,4046,507,167.905,18.003,12.9275
2595,cells4.jpg,110,13.618,1964.355,52.042,8,1958,12,18,14.004,10.001,88.937,18.682,255,100,8,1958,105.524,11.841,12.0025
3329,cells4.jpg,110,3685.473,2627.036,51.456,3678,2621,14,14,13.567,10.324,33.644,15.811,255,100,3682,2635,55.305,13.396,11.9455
318,cells4.jpg,111,2128.176,256.518,53.698,2121,247,16,16,16.593,8.518,140.143,22.627,255,100,2121,247,135,11.328,12.5555
766,cells4.jpg,111,2392.716,560.59,47.456,2386,554,12,17,14.747,9.583,122.125,18.788,255,100,2389,554,115.201,11.314,12.165
1671,cells4.jpg,111,3208.086,1208.509,68.184,3200,1198,14,20,16.983,8.322,107.719,21.19,255,100,3204,1198,109.29,13.8,12.6525
2066,cells4.jpg,111,3064.986,1529.248,82.326,3057,1519,18,19,15.801,8.944,123.421,21.932,255,100,3059,1519,136.848,14.616,12.3725
2074,cells4.jpg,111,104.797,1539.293,84.426,97,1529,16,24,19.07,7.411,118.316,26,255,100,100,1529,112.62,11.411,13.2405
2218,cells4.jpg,111,2121.815,1681.788,78.426,2116,1671,13,21,15.362,9.2,98.837,22.136,255,100,2122,1671,108.435,11.813,12.281
2867,cells4.jpg,111,193.437,2180.617,64.284,184,2173,17,15,17.695,7.987,152.479,20.616,255,100,184,2175,140.906,11.49,12.841
2902,cells4.jpg,112,2383.554,2211.696,51.113,2376,2203,14,17,18.221,7.826,113.609,19.209,255,100,2376,2205,128.66,9.391,13.0235
3043,cells4.jpg,112,1607.321,2345.982,103.397,1600,2329,15,36,26.858,5.309,72.603,38.626,255,100,1601,2365,68.749,10.346,16.0835
3592,cells4.jpg,112,2956.143,2937.179,59.941,2946,2932,23,9,21.517,6.627,1.88,23.087,255,100,2946,2934,175.03,9,14.072
2641,cells4.jpg,113,168.5,1991.093,50.87,160,1983,16,14,16.536,8.701,35.589,18.439,255,100,160,1997,40.601,12.021,12.6185
2861,cells4.jpg,113,4071.296,2175.447,79.012,4055,2168,26,15,23.508,6.12,20.18,30.017,255,100,4055,2183,29.982,9.747,14.814
3407,cells4.jpg,113,1504.128,2719.279,50.184,1497,2711,14,17,16.622,8.656,57.874,19.235,255,100,1497,2728,62.103,11.094,12.639
212,cells4.jpg,114,340.675,160.842,59.698,332,153,18,15,13.243,10.96,140.393,18.682,255,100,332,156,164.476,14.142,12.1015
294,cells4.jpg,114,2293.421,240.474,71.255,2287,229,17,21,18.398,7.889,122.979,22.672,255,100,2289,230,131.424,11.713,13.1435
1238,cells4.jpg,114,2570.789,886.754,92.426,2560,879,22,14,15.625,9.289,175.997,22.091,255,100,2560,885,174.806,13.825,12.457
2244,cells4.jpg,114,1636.018,1697.535,61.598,1626,1691,18,13,17.184,8.447,15.027,19.698,255,100,1626,1702,23.962,11.142,12.8155
2945,cells4.jpg,114,1368.281,2252.298,89.598,1362,2239,14,23,19.486,7.449,105.566,26.077,255,100,1362,2239,122.471,13.257,13.4675
713,cells4.jpg,115,1104.909,525.004,66.426,1094,520,21,11,18.005,8.133,9.944,22.136,255,100,1094,531,18.435,10.354,13.069
1378,cells4.jpg,115,3125.822,991.196,61.941,3117,985,17,16,17.378,8.426,32.338,20.518,255,100,3119,1001,43.025,11.8,12.902
1623,cells4.jpg,115,2009.326,1170.074,71.355,1995,1164,22,13,15.958,9.175,168.691,23.087,255,100,1995,1170,162.35,12.988,12.5665
3578,cells4.jpg,115,3169.796,2930.17,65.941,3159,2920,19,19,17.32,8.454,59.551,21.954,255,100,3159,2938,30.069,13.732,12.887
629,cells4.jpg,116,2692.5,476.526,61.113,2684,469,15,17,13.122,11.255,124.401,18.028,255,100,2684,472,146.31,12.075,12.1885
781,cells4.jpg,116,1198.638,571.888,94.569,1190,561,17,24,14.809,9.973,92.038,24.739,255,100,1201,585,75.964,15.951,12.391
928,cells4.jpg,116,3255.267,672.776,74.426,3244,665,20,17,17.007,8.684,144.751,22.361,255,100,3244,671,153.435,12.4,12.8455
1765,cells4.jpg,116,1614.095,1277.517,65.355,1603,1273,21,11,18.315,8.064,8.499,21.587,255,100,1603,1281,13.392,11,13.1895
1982,cells4.jpg,116,1398.922,1455.836,68.083,1391,1447,19,18,14.385,10.268,134.633,20.125,255,100,1395,1447,116.565,14.563,12.3265
2063,cells4.jpg,116,2259.405,1524.353,73.598,2251,1514,19,19,16.093,9.178,36.784,22.672,255,100,2255,1533,48.576,14.799,12.6355
2499,cells4.jpg,116,4016.276,1893.172,58.184,4005,1887,20,13,20.564,7.182,154.149,22.472,255,100,4005,1887,147.724,10.089,13.873
2661,cells4.jpg,116,2780.966,2006.586,87.841,2773,1998,15,20,16.716,8.836,73.146,22.472,255,100,2775,2018,57.724,15,12.776
2943,cells4.jpg,116,2207.112,2245.052,62.77,2197,2237,20,17,20.446,7.224,134.855,22.804,255,100,2197,2240,142.125,10.381,13.835
90,cells4.jpg,117,3243.774,50.756,74.426,3235,39,19,20,15.371,9.692,130.774,23.324,255,100,3242,39,120.964,13.546,12.5315
2564,cells4.jpg,117,3345.235,1938.295,71.598,3337,1929,20,20,18.814,7.918,57.172,25,255,100,3337,1946,36.87,12.2,13.366
388,cells4.jpg,118,3998.288,317.322,62.527,3993,303,12,25,21.547,6.973,105.147,25.71,255,100,3993,303,103.496,10.294,14.26
1235,cells4.jpg,118,11.458,886.059,70.184,6,877,13,18,14.985,10.026,97.894,18.111,255,100,9,877,96.34,12.127,12.5055
478,cells4.jpg,119,325.853,371.525,81.255,317,363,17,19,14.469,10.471,69.351,20.616,255,100,317,379,50.906,16.4,12.47
1037,cells4.jpg,119,1234.046,742.962,46.627,1227,737,14,13,13.764,11.008,145.917,17.029,255,100,1228,739,139.764,12.442,12.386
1102,cells4.jpg,119,3254.256,792.08,99.397,3249,780,12,28,20.985,7.22,83.014,28.862,255,100,3252,808,75.964,12,14.1025
1906,cells4.jpg,119,1436.987,1392.803,81.983,1429,1379,19,28,23.862,6.35,118.315,29.411,255,100,1432,1379,107.819,11.428,15.106
3715,cells4.jpg,119,3777.441,3054.508,62.77,3768,3047,19,14,15.516,9.765,149.072,21.471,255,100,3768,3051,152.241,14,12.6405
517,cells4.jpg,120,1483.325,397.783,72.426,1473,392,19,14,15.486,9.866,20.726,22.804,255,100,1473,406,37.875,11.813,12.676
694,cells4.jpg,120,2202.608,516.942,53.355,2195,509,14,16,16.019,9.538,113.447,18.439,255,100,2195,512,139.399,12.728,12.7785
875,cells4.jpg,120,199.25,639.258,78.426,191,632,17,14,13.879,11.009,158.891,20.248,255,100,191,634,147.095,13.533,12.444
1402,cells4.jpg,120,1449.467,1012.3,110.569,1435,1004,29,15,16.311,9.367,10.998,29.275,255,100,1435,1015,7.853,14.865,12.839
2245,cells4.jpg,120,1288.508,1696.925,66.87,1280,1692,17,16,15.111,10.111,160.487,20.518,255,100,1281,1693,133.025,14.311,12.611
2567,cells4.jpg,120,2927.708,1944.383,78.669,2920,1931,18,24,20.144,7.585,55.301,27.785,255,100,2924,1955,59.744,13.06,13.8645
789,cells4.jpg,121,1211.566,582.401,64.87,1206,568,11,25,22.911,6.724,74.37,25.71,255,100,1208,593,76.504,8.928,14.8175
862,cells4.jpg,121,3927.236,629.021,49.113,3920,621,14,17,18.335,8.403,50.452,20.248,255,100,3922,638,57.095,10.6,13.369
1079,cells4.jpg,121,3035.624,779.343,76.083,3022,767,23,24,27.461,5.61,42.365,31.241,255,100,3024,791,50.194,9.813,16.5355
593,cells4.jpg,122,4025.254,450.402,80.77,4010,440,25,23,21.397,7.26,133.382,30.414,255,100,4010,442,136.332,12.728,14.3285
3631,cells4.jpg,122,3360.598,2983.492,74.184,3349,2977,19,16,18.064,8.599,140.255,23.345,255,100,3351,2977,136.736,13.158,13.3315
23,cells4.jpg,123,1189.671,9.516,79.841,1173,4,29,12,21.323,7.345,13.21,29.428,255,100,1173,9,9.782,11.179,14.334
193,cells4.jpg,123,3170.728,141.638,111.64,3164,126,13,33,23.309,6.719,89.988,33.061,255,100,3168,126,93.468,12.622,15.014
970,cells4.jpg,123,2357.37,700.801,51.113,2348,695,18,11,17.249,9.079,176.167,18.248,255,100,2348,702,9.462,11,13.164
2169,cells4.jpg,123,225.785,1633.24,67.841,218,1624,16,17,13.956,11.222,149.268,18.868,255,100,219,1624,122.005,15.413,12.589
2406,cells4.jpg,123,2772.411,1825.451,60.87,2764,1816,15,18,17.95,8.725,75.823,21.095,255,100,2768,1834,58.57,13.52,13.3375
2491,cells4.jpg,123,4071.622,1892.085,65.941,4065,1879,12,23,19.133,8.185,66.573,23.77,255,100,4070,1902,75.379,11.649,13.659
2504,cells4.jpg,123,1443.476,1905.996,80.811,1431,1893,26,25,30.839,5.078,139.036,33.971,255,100,1434,1893,132.614,8.083,17.9585
2618,cells4.jpg,123,3819.825,1975.972,86.083,3811,1968,18,21,15.117,10.359,123.907,23.259,255,100,3811,1968,115.463,14.708,12.738
2828,cells4.jpg,123,262.581,2144.272,50.042,256,2138,14,13,13.241,11.827,83.96,16.401,255,100,257,2150,37.569,13,12.534
943,cells4.jpg,124,2384.669,688.444,93.983,2374,676,21,23,16.247,9.718,138.009,26.926,255,100,2378,676,121.329,15.532,12.9825
1181,cells4.jpg,124,3263.21,851.024,94.912,3258,837,12,30,20.722,7.619,92.362,30.414,255,100,3259,837,99.462,11.351,14.1705
2185,cells4.jpg,124,1213.169,1648.726,82.669,1205,1637,14,24,17.866,8.837,78.58,26,255,100,1206,1661,67.38,12.802,13.3515
2969,cells4.jpg,124,1264.169,2261.105,65.598,1254,2255,19,13,17.408,9.07,16.285,20.248,255,100,1254,2265,20.225,12.001,13.239
3361,cells4.jpg,124,2599.645,2671.524,74.669,2590,2664,16,18,14.031,11.252,75.822,18.788,255,100,2592,2665,115.201,15.811,12.6415
432,cells4.jpg,125,335.308,344.836,57.456,328,336,13,16,17.288,9.206,55.146,19.416,255,100,329,352,55.491,12.021,13.247
1812,cells4.jpg,125,1675.644,1316.196,50.627,1669,1306,11,18,17.183,9.262,70.745,20.248,255,100,1669,1323,57.095,10.59,13.2225
3712,cells4.jpg,125,2380.892,3052.068,57.941,2372,3045,21,13,16.744,9.505,20.149,22.847,255,100,2372,3057,23.199,12.442,13.1245
417,cells4.jpg,126,1218.794,339.579,102.711,1201,324,34,26,29.814,5.381,145.247,39.115,255,100,1201,329,147.529,10.1,17.5975
1073,cells4.jpg,126,2102.095,769.802,77.012,2091,763,24,14,21.684,7.398,15.438,24.515,255,100,2091,773,11.768,10.385,14.541
2768,cells4.jpg,126,1558.651,2095.048,69.355,1550,2088,17,19,13.065,12.279,156.925,19.105,255,100,1554,2088,96.009,15.495,12.672
1289,cells4.jpg,127,3453.098,929.114,87.598,3441,917,20,23,17.595,9.19,134.612,24.839,255,100,3442,919,139.899,15.809,13.3925
2247,cells4.jpg,127,2561.807,1699.854,80.77,2551,1693,26,15,21.192,7.63,7.648,26.173,255,100,2551,1697,173.418,12.04,14.411
2300,cells4.jpg,127,2891.988,1743.169,90.326,2883,1733,17,24,15.329,10.549,75.689,25,255,100,2892,1757,73.74,14.973,12.939
2433,cells4.jpg,127,26.264,1850.461,81.154,17,1840,17,21,17.152,9.428,112.654,21.587,255,100,28,1840,103.392,15.297,13.29
2575,cells4.jpg,127,1893.516,1950.429,78.326,1881,1942,19,19,14.711,10.992,87.104,21.024,255,100,1881,1952,25.346,16.2,12.8515
129,cells4.jpg,128,1785.039,78.148,77.598,1778,70,17,18,14.016,11.627,72.848,21.401,255,100,1782,88,52.595,17,12.8215
2806,cells4.jpg,128,2537.664,2131.773,108.468,2526,2120,24,22,18.311,8.901,43.756,26.833,255,100,2526,2138,26.565,14.378,13.606
164,cells4.jpg,129,3677.407,111.957,63.113,3673,103,11,21,19.817,8.288,78.257,21.932,255,100,3675,124,65.772,9.459,14.0525
343,cells4.jpg,129,2328.244,276.112,74.426,2321,267,20,18,15.069,10.9,155.093,20.881,255,100,2321,277,16.699,16.735,12.9845
914,cells4.jpg,129,2894.492,665.647,65.355,2890,654,12,26,24.093,6.817,72.519,26.683,255,100,2894,680,77.005,9.16,15.455
2246,cells4.jpg,129,1126.702,1698.275,63.698,1115,1693,23,11,24.65,6.663,9.097,24.042,255,100,1115,1704,16.928,9.008,15.6565
2628,cells4.jpg,129,1246.554,1981.446,61.941,1239,1974,16,16,15.4,10.665,30.034,17.493,255,100,1239,1986,30.964,13.667,13.0325
2673,cells4.jpg,129,3325.461,2013.461,66.77,3317,2005,18,16,13.303,12.347,147.945,18.248,255,100,3317,2015,170.538,15.556,12.825
3165,cells4.jpg,129,775.074,2456.911,78.669,763,2448,23,16,16.547,9.926,158.412,24.698,255,100,763,2449,158.629,14.795,13.2365
3503,cells4.jpg,129,2849.702,2837.942,93.74,2835,2829,27,15,20.293,8.094,19.724,30.887,255,100,2835,2844,29.055,12.159,14.1935
2627,cells4.jpg,130,586.469,1983.531,79.255,574,1974,23,17,20.712,7.992,33.259,24.698,255,100,574,1988,21.371,12.176,14.352
761,cells4.jpg,131,566.706,557.164,81.255,552,551,27,15,20.738,8.043,159.414,29.547,255,100,552,554,156.038,12.017,14.3905
1782,cells4.jpg,131,1607.569,1292.24,75.841,1597,1285,20,14,15.489,10.768,161.659,20.224,255,100,1597,1289,171.469,13.238,13.1285
2738,cells4.jpg,131,788.637,2070.134,79.012,777,2063,23,14,17.803,9.369,162.092,24.042,255,100,777,2066,163.072,14,13.586
2808,cells4.jpg,131,669.905,2134.126,77.255,660,2121,18,23,17.076,9.768,108.223,24.042,255,100,666,2121,106.928,16.2,13.422
3140,cells4.jpg,131,2562.706,2431.118,89.598,2553,2422,21,17,16.923,9.856,162.923,22.672,255,100,2554,2422,131.424,15.28,13.3895
3705,cells4.jpg,131,2750.134,3050.195,78.77,2741,3038,20,21,13.644,12.225,152.261,22.472,255,100,2746,3038,110.854,16.463,12.9345
545,cells4.jpg,132,1350.205,420.462,102.912,1337,412,23,18,17.641,9.527,155.54,26.249,255,100,1340,413,139.635,15.689,13.584
621,cells4.jpg,132,1358.682,472.523,75.255,1349,465,19,15,18.599,9.037,155.832,22.204,255,100,1350,466,144.162,13.218,13.818
2422,cells4.jpg,132,3469.386,1841.303,75.012,3462,1830,17,21,19.569,8.589,61.589,22.825,255,100,3465,1850,61.189,13.927,14.079
3151,cells4.jpg,132,3482.348,2438.894,83.841,3470,2431,26,16,18.991,8.85,22.941,28.231,255,100,3470,2445,22.932,12.53,13.9205
3684,cells4.jpg,132,1314.5,3028.561,83.255,1300,3021,26,14,20.596,8.16,173.723,27.203,255,100,1300,3027,162.897,13.745,14.378
365,cells4.jpg,133,527.305,292.365,100.811,517,283,20,21,16.759,10.104,120.62,24.207,255,100,518,283,141.71,14.861,13.4315
714,cells4.jpg,133,2269.342,530.62,69.012,2260,520,16,20,15.14,11.185,120.92,20.616,255,100,2263,524,129.094,15.926,13.1625
3131,cells4.jpg,133,781.62,2417.056,107.539,771,2409,22,18,17.251,9.816,146.983,23.324,255,100,771,2411,149.036,16.364,13.5335
3524,cells4.jpg,133,1871.402,2867.132,74.77,1863,2857,20,19,18.231,9.288,47.57,24.083,255,100,1866,2875,48.366,15.809,13.7595
559,cells4.jpg,134,1862.843,425.866,61.355,1853,418,18,15,16.646,10.249,138.841,21.633,255,100,1853,421,146.31,13.525,13.4475
3349,cells4.jpg,134,2263.545,2655.097,56.042,2255,2649,18,14,19.188,8.892,31.024,22.023,255,100,2256,2663,39.472,11.161,14.04
70,cells4.jpg,135,3783.611,25.33,75.598,3771,17,22,18,17.262,9.958,40.029,25.554,255,100,3771,35,30.579,14.7,13.61
578,cells4.jpg,135,281.263,442.337,60.77,271,435,22,15,21.675,7.93,30.538,24.187,255,100,272,447,29.745,10.476,14.8025
851,cells4.jpg,135,319.344,621.448,75.012,309,614,21,19,22.764,7.551,41.762,27.586,255,100,310,633,43.531,11.219,15.1575
1420,cells4.jpg,135,2137.552,1026.7,64.184,2130,1017,17,19,16.072,10.695,90.901,19.416,255,100,2136,1036,78.111,15.854,13.3835
2629,cells4.jpg,135,408.3,1982.722,76.77,395,1975,25,12,19.808,8.678,3.346,25.495,255,100,395,1982,168.69,12,14.243
3323,cells4.jpg,135,1313.07,2623.752,63.113,1303,2619,22,12,21.639,7.943,11.011,22.361,255,100,1303,2621,169.695,11.198,14.791
1956,cells4.jpg,136,3710.647,1432.551,73.255,3700,1422,21,24,25.648,6.751,128.426,27.295,255,100,3704,1422,118.443,9.507,16.1995
2196,cells4.jpg,136,3276.956,1658.926,55.941,3266,1653,22,12,20.905,8.283,149.416,24.597,255,100,3266,1653,153.435,10.607,14.594
448,cells4.jpg,137,1220.266,355.361,70.77,1213,348,17,17,15.655,11.142,169.514,18.385,255,100,1213,350,157.62,16.373,13.3985
2646,cells4.jpg,137,433.128,1995.179,89.497,424,1984,24,24,22.256,7.838,44.755,30.61,255,100,424,2005,38.367,13.63,15.047
2950,cells4.jpg,137,1729.354,2258.252,74.426,1720,2244,17,25,24.617,7.086,61.748,28.601,255,100,1720,2267,53.531,10.569,15.8515
122,cells4.jpg,138,2262.725,75.884,54.284,2257,66,12,19,18.121,9.696,68.491,20.809,255,100,2257,84,54.782,11.343,13.9085
361,cells4.jpg,138,1406.167,288.565,75.598,1397,282,19,16,15.705,11.188,30.465,19.723,255,100,1397,293,30.466,14.484,13.4465
2733,cells4.jpg,138,1565.71,2066.957,75.841,1554,2059,22,17,17.768,9.889,39.688,24.166,255,100,1554,2071,24.444,12.671,13.8285
2852,cells4.jpg,138,1952.754,2174.348,73.012,1942,2166,19,18,15.747,11.158,57.117,22.204,255,100,1948,2184,54.162,15.38,13.4525
3030,cells4.jpg,138,3012.42,2322.42,59.698,3004,2311,15,18,16.022,10.967,67.976,20.125,255,100,3005,2329,63.435,14.418,13.4945
3350,cells4.jpg,138,3209.58,2659.442,73.598,3200,2649,18,17,15.511,11.328,128.369,20,255,100,3203,2650,126.87,16.052,13.4195
3709,cells4.jpg,138,2193.326,3053.406,74.77,2184,3044,19,16,15.315,11.473,52.645,21.932,255,100,2184,3060,46.848,16,13.394
302,cells4.jpg,139,2992.421,246.183,62.184,2981,238,20,16,14.902,11.876,21.562,20.616,255,100,2981,245,165.964,15.325,13.389
410,cells4.jpg,139,3649.147,327.543,81.255,3641,317,18,20,16.806,10.531,59.731,24.207,255,100,3642,336,51.71,16.313,13.6685
1964,cells4.jpg,139,133.363,1441.421,90.426,126,1429,17,25,15.531,11.396,81.483,25.71,255,100,127,1454,76.504,16.993,13.4635
2351,cells4.jpg,139,3844.946,1784.773,60.527,3837,1776,16,19,16.226,10.907,122.955,20.248,255,100,3839,1776,110.225,14.142,13.5665
2832,cells4.jpg,139,559.701,2152.392,97.154,546,2142,25,18,19.945,8.873,22.944,26.249,255,100,546,2154,17.745,14.957,14.409
2895,cells4.jpg,139,4077.119,2204.176,83.841,4066,2194,17,22,15.007,11.793,64.848,22.361,255,100,4079,2216,79.695,17,13.4
3295,cells4.jpg,139,1087.047,2597.514,78.184,1082,2584,13,26,20.13,8.792,112.806,26.683,255,100,1082,2584,102.995,12.775,14.461
404,cells4.jpg,140,1614.236,323.643,76.912,1607,313,19,21,19.777,9.013,130.483,24.839,255,100,1607,315,139.899,11.823,14.395
449,cells4.jpg,140,1324.614,357.657,55.941,1314,348,18,16,19.412,9.182,35.806,22.204,255,100,1314,363,35.838,12.286,14.297
1316,cells4.jpg,140,2190.693,948.636,56.284,2184,939,12,18,16.12,11.058,85.957,18.868,255,100,2186,941,122.005,12,13.589
1711,cells4.jpg,140,2031.957,1235.914,84.669,2019,1227,23,17,18.354,9.712,178.275,23.537,255,100,2019,1233,167.735,16.155,14.033
2133,cells4.jpg,140,622.593,1592.25,69.598,610,1584,25,15,24.617,7.241,154.759,27.731,255,100,610,1586,154.359,10.282,15.929
