 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Average Diameter
3371,cells4.jpg,2279,2311.443,2699.36,223.622,2284,2669,56,64,59.244,48.979,108.237,67.052,255,100,2301,2669,107.354,53.407,54.1115
67,cells4.jpg,2281,413.372,40.504,308.877,376,13,78,50,68.039,42.685,177.738,79.831,255,100,376,52,12.295,49.881,55.362
1488,cells4.jpg,2281,322.513,1111.999,335.404,290,1072,57,76,61.649,47.11,83.327,76.942,255,100,309,1148,81.027,55.781,54.3795
1876,cells4.jpg,2282,660.659,1396.107,255.321,634,1354,53,79,72.215,40.234,76.986,80.062,255,100,650,1433,80.655,45.63,56.2245
351,cells4.jpg,2284,985.962,301.756,289.463,947,274,82,54,68.924,42.192,20.8,82.735,255,100,947,300,7.64,48.746,55.558
2962,cells4.jpg,2285,2394.998,2278.515,316.534,2365,2251,59,67,56.295,51.681,102.191,71.197,255,100,2379,2252,119.445,56.192,53.988
124,cells4.jpg,2288,579.417,98.337,310.049,551,68,59,61,58.046,50.187,104.245,63.514,255,100,568,68,123.44,57.676,54.1165
1178,cells4.jpg,2288,3801.66,865.336,280.735,3775,835,57,61,58.213,50.043,59.821,64.475,255,100,3790,894,66.218,54.915,54.128
1288,cells4.jpg,2288,2482.056,947.158,269.706,2453,917,60,60,57.805,50.396,127.104,64.078,255,100,2454,927,157.036,53.007,54.1005
1870,cells4.jpg,2288,1141.316,1386.512,238.693,1116,1350,51,74,64.41,45.229,92.345,74.545,255,100,1140,1424,83.066,48.519,54.8195
1275,cells4.jpg,2289,3784.208,931.778,273.078,3750,904,62,58,54.828,53.156,25.537,64.846,255,100,3751,943,19.832,57.128,53.992
1737,cells4.jpg,2289,2802.237,1279.992,273.907,2769,1250,62,58,54.78,53.203,45.186,62.65,255,100,2769,1276,171.741,57.8,53.9915
1016,cells4.jpg,2290,4043.477,758.417,352.676,4010,723,61,68,58.79,49.595,79.989,69.635,255,100,4037,723,102.44,59.587,54.1925
1163,cells4.jpg,2290,3581.532,855.351,249.907,3553,826,58,59,58.352,49.968,43.035,62.65,255,100,3563,881,61.39,54.478,54.16
375,cells4.jpg,2293,3078.656,330.899,400.86,3053,292,60,75,69.275,42.144,61.391,82.098,255,100,3057,364,55.923,49.824,55.7095
2933,cells4.jpg,2293,2844.04,2253.037,305.848,2812,2224,65,55,58.597,49.824,166.373,66.491,255,100,2812,2246,167.845,55,54.2105
1054,cells4.jpg,2297,3955.599,782.407,241.137,3924,748,56,64,59.435,49.207,73.715,64.281,255,100,3955,748,95.356,54.032,54.321
2407,cells4.jpg,2298,3386.572,1854.459,382.718,3354,1818,65,72,56.444,51.838,125.114,73.756,255,100,3372,1818,102.529,54.447,54.141
2998,cells4.jpg,2300,3300.673,2310.708,324.191,3271,2279,60,70,62.512,46.846,130.865,70.257,255,100,3298,2279,94.899,53.621,54.679
1841,cells4.jpg,2301,1228.174,1363.603,392.233,1199,1331,60,73,60.004,48.825,124.447,80.529,255,100,1218,1331,114.974,58.342,54.4145
3214,cells4.jpg,2303,3078.157,2523.384,257.907,3044,2495,66,56,60.444,48.513,162.915,66.272,255,100,3044,2525,174.806,52.272,54.4785
1825,cells4.jpg,2305,830.236,1352.023,246.007,797,1320,58,68,58.791,49.92,76.417,68.184,255,100,827,1388,85.795,54.338,54.3555
3387,cells4.jpg,2305,1549.466,2720.648,291.22,1519,2688,55,65,61.735,47.539,66.612,67.676,255,100,1533,2747,55.84,54.403,54.637
1428,cells4.jpg,2306,1136.194,1055.297,393.203,1110,1023,63,88,64.492,45.526,106.649,89.499,255,100,1124,1023,103.57,56.05,55.009
