 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
83,C2-Adipocites (2).tif,100,3811.51,402.51,61.355,3799,397,19,15,13.119,9.706,162.423,19.647,255,100,3799,400,165.256,14.24
370,C2-Adipocites (2).tif,100,2053.96,1296.06,50.284,2047,1291,16,10,15.835,8.04,177.682,16.763,255,100,2047,1293,162.646,10
454,C2-Adipocites (2).tif,100,2047.68,1564.3,49.213,2042,1555,13,16,17.399,7.318,57.442,19.416,255,100,2042,1571,55.491,9.764
552,C2-Adipocites (2).tif,100,1292.17,1841.93,48.87,1284,1836,15,12,14.838,8.581,16.171,15.811,255,100,1284,1841,161.565,10.912
127,C2-Adipocites (2).tif,101,2550.431,618.708,55.698,2544,612,13,14,15.005,8.57,120.146,17.804,255,100,2544,612,128.157,11.126
134,C2-Adipocites (2).tif,101,3676.361,660.837,64.527,3669,654,14,15,14.494,8.873,126.854,18.439,255,100,3669,656,139.399,12.548
144,C2-Adipocites (2).tif,101,2618.054,692.975,74.669,2611,683,17,19,19.567,6.572,126.026,24.083,255,100,2612,683,131.634,9.436
334,C2-Adipocites (2).tif,101,2419.946,1191.856,57.941,2411,1186,19,11,16.311,7.884,1.446,19.235,255,100,2411,1195,8.973,10.933
533,C2-Adipocites (2).tif,101,1794.282,1789.53,116.811,1786,1774,15,30,21.029,6.115,90.826,30.594,255,100,1793,1774,101.31,15
168,C2-Adipocites (2).tif,102,1978.225,781.755,76.083,1968,771,18,21,18.045,7.197,128.222,26.173,255,100,1968,771,133.452,11.18
274,C2-Adipocites (2).tif,102,4004.559,1015,69.113,3996,1008,18,14,15.107,8.597,146.879,20,255,100,3998,1010,143.13,12.075
443,C2-Adipocites (2).tif,102,1435.784,1519.765,73.941,1424,1515,21,13,17.028,7.627,166.984,23.259,255,100,1424,1516,154.537,12.849
567,C2-Adipocites (2).tif,102,2749.873,1891.961,75.355,2744,1882,12,21,15.221,8.533,86.034,21.587,255,100,2744,1903,76.608,11.627
