 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 9.tif (green),4160131,781.579,1806.084,29910.882,2,5,2399,3058,3234.720,1637.497,109.087,3716.528,255,100,6,10,129.760,2337.612
2,Image 9.tif (green),5790,1341.860,79.189,1487.543,1275,6,129,169,117.140,62.934,91.134,170.558,255,100,1345,6,97.750,125.851
3,Image 9.tif (green),2757753,3532.797,1650.996,41235.689,2357,6,1720,3058,2957.084,1187.413,88.980,3496.062,255,100,2367,3059,60.773,1719.952
4,Image 9.tif (green),1624,1281.241,23.251,315.581,1232,7,86,40,56.816,36.394,178.587,86.371,255,100,1232,7,174.685,40.000
5,Image 9.tif (green),1642,1536.221,24.878,315.037,1494,7,98,52,71.095,29.407,22.393,98.127,255,100,1494,12,2.921,51.200
6,Image 9.tif (green),21494,1662.580,88.044,2497.949,1499,7,313,162,253.418,107.992,4.044,318.148,255,100,1499,115,10.321,159.970
7,Image 9.tif (green),1352,1835.956,30.996,358.108,1807,8,66,61,54.728,31.454,39.364,77.078,255,100,1817,62,44.474,47.455
8,Image 9.tif (green),12472,1971.773,68.456,2033.131,1868,8,207,148,145.743,108.957,178.625,207.118,255,100,1884,113,27.926,148.000
9,Image 9.tif (green),1165,2584.545,35.009,364.836,2544,8,67,53,49.467,29.986,141.401,75.664,255,100,2545,9,150.725,45.213
10,Image 9.tif (green),554,2618.861,21.134,174.368,2602,8,38,42,31.066,22.706,115.273,44.011,255,100,2602,9,111.318,36.060
11,Image 9.tif (green),105,3108.414,10.786,69.213,3092,8,31,6,31.170,4.289,175.243,31.064,255,100,3092,8,176.309,5.946
12,Image 9.tif (green),1529,3398.399,23.359,234.409,3363,8,71,39,57.324,33.961,176.893,71.568,255,100,3363,19,7.224,39.000
13,Image 9.tif (green),5925,3504.542,45.206,466.191,3451,8,115,80,107.713,70.037,13.435,117.478,255,100,3451,55,11.788,79.067
14,Image 9.tif (green),3640,3616.670,40.103,524.233,3571,8,91,88,86.135,53.806,37.992,108.074,255,100,3571,78,38.991,68.121
15,Image 9.tif (green),154,1779.760,15.857,90.527,1766,9,27,17,19.015,10.312,166.520,28.460,255,100,1766,14,161.565,15.227
16,Image 9.tif (green),134,2160.470,12.649,64.627,2148,9,26,10,20.222,8.437,174.258,26.306,255,100,2148,9,171.254,10.000
17,Image 9.tif (green),35266,2387.525,126.896,2448.209,2161,9,421,258,392.125,114.510,156.843,450.521,255,100,2162,24,158.789,164.284
18,Image 9.tif (green),236,2409.148,16.347,103.598,2386,9,40,20,35.980,8.351,157.099,44.721,255,100,2386,9,153.435,12.402
19,Image 9.tif (green),3584,3304.391,39.484,542.090,3256,9,93,73,83.516,54.640,152.254,107.815,255,100,3256,10,139.514,66.858
20,Image 9.tif (green),11370,2727.046,83.606,814.784,2659,16,129,152,141.378,102.397,100.548,161.756,255,100,2685,17,111.012,125.307
21,Image 9.tif (green),174,2897.552,24.586,85.113,2886,17,23,16,21.305,10.398,171.080,24.698,255,100,2886,19,158.629,15.645
