 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 5.tif (green),188,3584.697,621.787,87.355,3578,606,17,30,20.196,11.852,86.003,30.414,255,100,3578,636,80.538,17.000
2,Image 5.tif (green),483,3630.506,629.572,115.598,3610,619,38,23,32.062,19.181,178.001,40.853,255,100,3610,627,158.459,23.000
3,Image 5.tif (green),347,3670.411,645.091,104.912,3650,633,35,25,29.588,14.932,165.259,35.903,255,100,3650,643,167.125,19.642
4,Image 5.tif (green),1192,3639.699,675.579,229.681,3612,650,60,55,47.749,31.785,151.388,65.795,255,100,3612,657,155.772,44.132
5,Image 5.tif (green),264,3380.871,690.826,121.841,3366,670,29,35,33.014,10.182,60.026,41.881,255,100,3372,705,56.689,18.614
6,Image 5.tif (green),601,3671.883,716.547,175.296,3646,684,45,52,48.114,15.904,44.144,66.219,255,100,3646,736,51.746,24.583
7,Image 5.tif (green),642,3343.696,746.421,152.225,3322,732,42,32,34.970,23.375,170.062,43.174,255,100,3322,750,166.608,29.896
8,Image 5.tif (green),129,2997.453,743.306,56.627,2991,734,16,16,17.434,9.421,137.257,21.932,255,100,2991,734,136.848,13.435
9,Image 5.tif (green),5800,2981.598,813.522,755.245,2913,747,167,124,133.582,55.283,26.741,168.576,255,100,2913,840,7.842,91.040
10,Image 5.tif (green),105,2992.024,762.681,63.456,2984,755,21,14,19.944,6.703,146.811,24.698,255,100,2984,756,148.241,11.280
11,Image 5.tif (green),2498,3624.715,798.084,333.037,3584,758,70,78,65.576,48.502,117.059,79.925,255,100,3609,760,121.701,62.051
12,Image 5.tif (green),1440,3687.356,795.667,262.510,3658,758,57,65,48.392,37.888,7.970,69.289,255,100,3686,823,69.734,50.083
13,Image 5.tif (green),142,3247.577,771.965,82.527,3231,764,31,14,27.232,6.639,170.342,31.575,255,100,3231,764,169.046,10.976
14,Image 5.tif (green),158,3211.449,781.025,83.456,3206,769,15,26,22.745,8.845,93.502,26.926,255,100,3208,769,105.068,14.601
15,Image 5.tif (green),445,3401.918,787.576,176.610,3377,773,54,29,46.202,12.263,18.905,56.613,255,100,3377,800,17.475,22.059
16,Image 5.tif (green),304,3119.250,786.059,110.184,3105,775,24,23,20.416,18.959,150.745,31.145,255,100,3108,775,132.397,22.138
17,Image 5.tif (green),221,3297.057,807.776,96.770,3288,788,17,31,25.280,11.131,87.667,32.280,255,100,3289,819,73.811,16.709
18,Image 5.tif (green),1419,3506.224,812.928,233.196,3480,789,52,53,46.328,38.999,44.923,59.405,255,100,3495,789,126.098,50.349
19,Image 5.tif (green),1659,3200.684,827.904,411.179,3155,801,92,60,79.796,26.471,18.977,100.225,255,100,3155,847,24.775,43.119
20,Image 5.tif (green),111,3419.896,815.419,71.456,3410,805,17,21,15.782,8.955,95.236,23.707,255,100,3410,805,117.646,15.421
21,Image 5.tif (green),728,3022.977,834.604,212.024,3007,809,41,52,39.902,23.230,53.982,60.877,255,100,3007,854,47.663,41.000
22,Image 5.tif (green),1171,3480.994,859.102,259.581,3460,812,45,74,58.379,25.539,120.246,78.109,255,100,3466,812,108.667,41.870
23,Image 5.tif (green),122,3084.090,830.410,66.870,3073,822,20,17,15.885,9.779,15.345,21.541,255,100,3073,835,21.801,15.395
24,Image 5.tif (green),433,3412.158,838.987,161.397,3393,829,37,28,28.778,19.157,167.180,38.079,255,100,3393,842,13.671,27.699
25,Image 5.tif (green),293,3689.070,844.985,97.941,3670,833,31,22,28.462,13.107,170.125,33.106,255,100,3670,840,154.983,21.386
26,Image 5.tif (green),102,3725.363,847.147,69.456,3710,839,28,12,22.180,5.855,10.650,29.120,255,100,3710,847,15.945,8.891
27,Image 5.tif (green),544,3617.074,856.849,113.355,3600,840,34,30,26.664,25.976,77.529,34.525,255,100,3600,856,10.008,28.876
28,Image 5.tif (green),109,3081.849,853.280,59.456,3072,847,21,14,22.204,6.250,150.568,24.698,255,100,3072,847,148.241,9.666
29,Image 5.tif (green),1454,3055.479,891.089,397.480,3029,850,61,85,66.605,27.795,99.114,89.694,255,100,3034,854,120.854,54.490
30,Image 5.tif (green),103,3148.374,858.772,61.113,3139,852,18,15,14.009,9.361,176.689,19.313,255,100,3139,859,158.749,14.559
31,Image 5.tif (green),9306,3333.305,915.720,624.576,3276,853,124,115,120.574,98.270,154.542,143.684,255,100,3289,857,132.461,107.442
32,Image 5.tif (green),1702,3241.574,889.622,295.095,3215,862,45,61,53.320,40.643,88.270,64.195,255,100,3225,862,108.153,45.000
33,Image 5.tif (green),1654,3702.019,895.874,346.451,3667,865,78,57,64.995,32.402,176.467,79.120,255,100,3671,883,159.274,55.635
34,Image 5.tif (green),188,2999.904,881.851,67.456,2988,875,21,14,19.439,12.314,176.800,23.707,255,100,2988,887,27.646,14.000
35,Image 5.tif (green),211,3407.410,897.955,92.426,3400,883,18,28,23.675,11.348,73.570,31.765,255,100,3400,911,61.821,17.665
36,Image 5.tif (green),766,2323.604,913.184,144.912,2303,890,36,47,48.077,20.286,55.340,52.355,255,100,2310,936,61.477,24.703
37,Image 5.tif (green),6698,3629.206,955.729,617.404,3569,892,110,154,101.089,84.363,80.602,154.263,255,100,3623,892,93.345,101.459
38,Image 5.tif (green),4729,3176.545,949.973,377.321,3126,909,101,87,84.614,71.160,144.681,101.597,255,100,3126,937,173.784,77.346
39,Image 5.tif (green),2416,3452.009,970.388,549.505,3410,911,79,104,89.518,34.363,57.298,115.763,255,100,3424,1015,58.782,62.225
40,Image 5.tif (green),5247,2247.448,962.925,441.907,2195,917,97,100,98.889,67.557,126.479,113.534,255,100,2195,942,148.690,84.789
41,Image 5.tif (green),119,3436.340,927.492,57.698,3425,923,20,12,18.272,8.292,162.321,21.190,255,100,3425,926,160.710,11.384
42,Image 5.tif (green),4863,2364.835,982.331,486.492,2315,936,94,90,91.205,67.888,122.269,118.258,255,100,2324,938,131.915,82.563
43,Image 5.tif (green),133,2095.583,947.959,52.385,2090,941,16,14,13.482,12.560,165.822,18.358,255,100,2090,954,29.358,13.396
44,Image 5.tif (green),168,3693.387,955.613,50.627,3687,948,14,16,16.590,12.894,119.976,18.868,255,100,3688,948,122.005,14.000
45,Image 5.tif (green),214,3259.009,958.678,118.426,3242,951,30,17,22.237,12.253,176.344,31.780,255,100,3243,951,155.854,17.000
46,Image 5.tif (green),1076,2140.532,980.834,293.924,2104,957,64,48,43.716,31.339,169.436,70.264,255,100,2104,976,155.624,47.245
47,Image 5.tif (green),3562,3109.537,1005.792,508.191,3069,962,81,94,80.836,56.105,71.819,102.956,255,100,3090,1056,65.925,80.570
48,Image 5.tif (green),196,1963.668,981.434,84.870,1948,972,27,20,20.858,11.964,159.879,27.074,255,100,1948,982,175.764,18.931
49,Image 5.tif (green),5649,3510.681,1042.139,526.919,3470,976,84,122,109.353,65.773,75.668,123.968,255,100,3497,1098,72.150,83.424
50,Image 5.tif (green),2654,3701.764,1015.946,341.037,3665,976,63,87,76.310,44.282,100.256,88.459,255,100,3697,1063,79.579,61.318
51,Image 5.tif (green),10079,3243.935,1055.956,641.061,3181,988,124,133,128.262,100.053,134.561,134.164,255,100,3224,992,116.565,114.934
52,Image 5.tif (green),4362,2070.185,1028.964,506.191,2000,990,117,85,92.404,60.104,149.233,121.840,255,100,2000,1005,163.796,75.660
