 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
366,Image 5.tif (green),626,2820.906,2395.842,154.569,2807,2374,29,41,32.006,24.903,71.479,43.658,255,100,2820,2374,110.095,29,,,,,,,
7,Image 5.tif (green),642,3343.696,746.421,152.225,3322,732,42,32,34.97,23.375,170.062,43.174,255,100,3322,750,166.608,29.896,,,,,,,
307,Image 5.tif (green),652,2988.086,2155.081,129.012,2970,2139,37,35,42.971,19.319,30.249,49.497,255,100,2970,2174,45,23.398,,,,,,,
329,Image 5.tif (green),674,443.556,2250.497,199.054,416,2231,53,39,52.026,16.495,153.232,64.07,255,100,416,2231,145.814,29.689,,,,,,,
401,Image 5.tif (green),683,2163.922,2640.089,160.468,2144,2617,42,43,33.962,25.606,48.951,45.695,255,100,2144,2647,23.199,32.909,,,,,,,
125,Image 5.tif (green),693,1636.159,1347.695,243.782,1611,1330,56,36,35.531,24.834,21.952,59.808,255,100,1611,1338,159.444,36,,,,,,,
254,Image 5.tif (green),714,597.403,1868.499,272.652,579,1828,42,78,47.051,19.321,88.937,78.23,255,100,600,1828,94.399,38.404,,,,,,,
186,Image 5.tif (green),715,1280.857,1564.417,171.296,1260,1541,42,50,49.883,18.25,126.437,54.626,255,100,1266,1541,113.749,24.721,,,,,,,
231,Image 5.tif (green),716,3099.514,1727.07,118.811,3083,1709,35,37,38.621,23.605,136.105,40,255,100,3083,1714,126.87,27.488,,,,,,,
21,Image 5.tif (green),728,3022.977,834.604,212.024,3007,809,41,52,39.902,23.23,53.982,60.877,255,100,3007,854,47.663,41,,,,,,,
191,Image 5.tif (green),736,1543.01,1575.567,139.841,1523,1555,35,37,33.228,28.203,178.801,39.623,255,100,1527,1564,137.045,35,,,,,,,
36,Image 5.tif (green),766,2323.604,913.184,144.912,2303,890,36,47,48.077,20.286,55.34,52.355,255,100,2310,936,61.477,24.703,,,,,,,
296,Image 5.tif (green),781,3082.004,2092.765,215.882,3054,2076,65,35,48.34,20.571,23.454,68.425,255,100,3057,2111,26.94,32.541,,,,,,,
53,Image 5.tif (green),798,3603.667,1015.08,170.811,3584,994,36,46,37.081,27.401,80.584,47.074,255,100,3598,1040,77.735,34.821,,,,,,,
93,Image 5.tif (green),798,1787.93,1216.93,236.853,1770,1184,34,66,53.211,19.095,80.999,66.287,255,100,1785,1250,78.69,33.988,,,,,,,
148,Image 5.tif (green),804,3351.06,1432.03,291.48,3314,1399,75,66,34.283,29.86,165.63,81.154,255,100,3314,1399,157.543,56.008,,,,,,,
127,Image 5.tif (green),855,1735.343,1362.177,180.225,1716,1337,50,48,47.504,22.916,130.077,60,255,100,1727,1337,126.87,29.296,,,,,,,
426,Image 5.tif (green),875,2927.171,2871.354,144.468,2908,2849,40,39,38.812,28.704,146.371,44.822,255,100,2913,2849,141.34,31.602,,,,,,,
200,Image 5.tif (green),924,3005.319,1617.332,232.267,2984,1581,45,75,68.724,17.119,59.693,80.777,255,100,2989,1656,68.199,24.683,,,,,,,
318,Image 5.tif (green),929,3006.806,2202.463,166.326,2970,2187,63,27,60.932,19.412,13.319,67.067,255,100,2970,2212,20.056,25.093,,,,,,,
336,Image 5.tif (green),985,2734.957,2290.437,223.924,2710,2253,39,64,52.527,23.876,70.404,72.471,255,100,2710,2317,62.021,30.096,,,,,,,
351,Image 5.tif (green),990,453.899,2321.314,179.154,429,2306,51,40,43.008,29.308,13.496,51.478,255,100,429,2317,172.185,37.458,,,,,,,
219,Image 5.tif (green),1002,1396.74,1692.564,355.966,1370,1664,59,64,40.021,31.878,77.326,64.777,255,100,1384,1664,98.881,54.016,,,,,,,
171,Image 5.tif (green),1003,3386.401,1509.381,231.196,3362,1484,46,45,39.711,32.159,76.989,51.662,255,100,3370,1525,47.353,43.732,,,,,,,
428,Image 5.tif (green),1054,2448.763,3013.422,201.539,2427,2994,53,43,45.45,29.527,25.168,53.759,255,100,2429,3026,18.435,39.503,,,,,,,
116,Image 5.tif (green),1055,2390.181,1324.014,310.267,2366,1295,53,60,56.361,23.833,122.331,74.411,255,100,2370,1295,131.186,39.368,,,,,,,
46,Image 5.tif (green),1076,2140.532,980.834,293.924,2104,957,64,48,43.716,31.339,169.436,70.264,255,100,2104,976,155.624,47.245,,,,,,,
300,Image 5.tif (green),1079,1233.055,2127.45,243.539,1204,2097,55,65,57.111,24.055,54.104,72.897,255,100,1221,2162,63.083,35.594,,,,,,,
85,Image 5.tif (green),1092,2205.435,1182.027,196.811,2179,1157,46,52,41.635,33.394,131.986,58.181,255,100,2197,1158,118.768,41.342,,,,,,,
78,Image 5.tif (green),1127,2096.985,1130.893,280.51,2069,1110,63,49,44.939,31.931,19.292,63.285,255,100,2069,1126,174.56,48.163,,,,,,,
58,Image 5.tif (green),1149,2659.235,1041.179,204.267,2639,1019,43,51,43.75,33.439,93.725,58.31,255,100,2646,1020,120.964,42.361,,,,,,,
22,Image 5.tif (green),1171,3480.994,859.102,259.581,3460,812,45,74,58.379,25.539,120.246,78.109,255,100,3466,812,108.667,41.87,,,,,,,
4,Image 5.tif (green),1192,3639.699,675.579,229.681,3612,650,60,55,47.749,31.785,151.388,65.795,255,100,3612,657,155.772,44.132,,,,,,,
118,Image 5.tif (green),1209,1762.7,1339.755,226.468,1735,1309,52,60,53.957,28.529,128.702,67.082,255,100,1747,1309,116.565,39.964,,,,,,,
101,Image 5.tif (green),1253,2397.207,1274.881,245.581,2365,1242,61,55,59.636,26.752,142.315,70.831,255,100,2365,1252,149.452,34.361,,,,,,,
142,Image 5.tif (green),1329,2054.64,1410.613,337.137,2005,1388,86,46,66.755,25.349,164.785,92.477,255,100,2005,1397,158.429,39.89,,,,,,,
95,Image 5.tif (green),1364,2159.074,1242.553,319.338,2132,1208,55,70,58.646,29.613,121.304,76.968,255,100,2150,1208,114.567,43.963,,,,,,,
103,Image 5.tif (green),1406,2464.997,1293.302,294.51,2440,1261,55,69,49.023,36.517,65.248,69.893,255,100,2456,1330,56.083,53.67,,,,,,,
18,Image 5.tif (green),1419,3506.224,812.928,233.196,3480,789,52,53,46.328,38.999,44.923,59.405,255,100,3495,789,126.098,50.349,,,,,,,
12,Image 5.tif (green),1440,3687.356,795.667,262.51,3658,758,57,65,48.392,37.888,7.97,69.289,255,100,3686,823,69.734,50.083,,,,,,,
29,Image 5.tif (green),1454,3055.479,891.089,397.48,3029,850,61,85,66.605,27.795,99.114,89.694,255,100,3034,854,120.854,54.49,,,,,,,
273,Image 5.tif (green),1538,2499.43,1964.254,216.167,2474,1934,48,63,49.82,39.306,98.076,65.521,255,100,2499,1934,105.945,47.607,,,,,,,
243,Image 5.tif (green),1555,3152.678,1788.428,234.267,3126,1762,52,56,49.573,39.939,171.387,58.138,255,100,3126,1778,153.435,51.693,,,,,,,
245,Image 5.tif (green),1605,940.99,1793.537,191.296,916,1767,50,55,54.574,37.446,119.117,64.405,255,100,916,1768,126.158,45.481,,,,,,,
384,Image 5.tif (green),1621,2637.559,2523.898,363.907,2601,2491,84,67,63.861,32.319,40.347,97.247,255,100,2601,2544,30.256,54.526,,,,,,,
33,Image 5.tif (green),1654,3702.019,895.874,346.451,3667,865,78,57,64.995,32.402,176.467,79.12,255,100,3671,883,159.274,55.635,,,,,,,
19,Image 5.tif (green),1659,3200.684,827.904,411.179,3155,801,92,60,79.796,26.471,18.977,100.225,255,100,3155,847,24.775,43.119,,,,,,,
80,Image 5.tif (green),1701,1883.879,1153.005,256.368,1849,1122,68,57,62.182,34.83,140.48,72.945,255,100,1853,1139,151.327,48.981,,,,,,,
32,Image 5.tif (green),1702,3241.574,889.622,295.095,3215,862,45,61,53.32,40.643,88.27,64.195,255,100,3225,862,108.153,45,,,,,,,
197,Image 5.tif (green),1704,2250.369,1601.158,324.551,2199,1572,85,58,73.642,29.462,152.904,95.383,255,100,2199,1582,150.479,50.164,,,,,,,
319,Image 5.tif (green),1730,2766.506,2230.346,362.936,2729,2191,77,70,50.747,43.406,163.292,77.647,255,100,2729,2224,172.6,59.114,,,,,,,
66,Image 5.tif (green),1759,2371.205,1069.557,444.635,2317,1046,93,51,73.894,30.309,12.837,96.167,255,100,2317,1078,16.928,44.467,,,,,,,
233,Image 5.tif (green),1831,3208.066,1757.612,400.693,3179,1714,54,98,75.943,30.698,94.971,103.078,255,100,3183,1717,112.834,52.846,,,,,,,
240,Image 5.tif (green),1831,1734.416,1786.777,333.581,1706,1754,54,67,58.312,39.98,111.328,78.549,255,100,1715,1754,121.464,52.211,,,,,,,
249,Image 5.tif (green),2015,752.528,1823.088,345.966,719,1788,62,63,57.612,44.532,115.643,76.381,255,100,728,1791,133.939,55.393,,,,,,,
393,Image 5.tif (green),2035,2303.692,2588.506,284.794,2261,2564,78,61,55.594,46.606,9.232,80.362,255,100,2261,2595,16.631,55.577,,,,,,,
179,Image 5.tif (green),2067,748.726,1584.93,498.049,713,1527,67,109,74.157,35.49,84.369,109.554,255,100,746,1636,84.237,61.237,,,,,,,
386,Image 5.tif (green),2231,3004.44,2527.926,297.238,2970,2499,71,58,59.062,48.095,10.274,76.694,255,100,2970,2545,22.218,57.531,,,,,,,
206,Image 5.tif (green),2236,1320.55,1640.712,255.338,1288,1607,65,67,59.373,47.95,108.255,71.589,255,100,1288,1618,155.225,54.88,,,,,,,
362,Image 5.tif (green),2262,2918.481,2389.375,280.995,2892,2350,58,77,75.528,38.132,68.177,82.298,255,100,2896,2425,62.501,51.4,,,,,,,
429,Image 5.tif (green),2355,2634.801,3037.425,270.267,2594,2998,73,63,70.884,42.301,38.778,78.6,255,100,2601,3061,53.276,53.74,,,,,,,
117,Image 5.tif (green),2396,2100.702,1331.767,505.706,2065,1299,90,71,59.122,51.6,7.677,90.477,255,100,2070,1306,159.963,69.076,,,,,,,
39,Image 5.tif (green),2416,3452.009,970.388,549.505,3410,911,79,104,89.518,34.363,57.298,115.763,255,100,3424,1015,58.782,62.225,,,,,,,
325,Image 5.tif (green),2484,3120.817,2243.001,405.522,3086,2215,82,62,66.697,47.419,7.126,86.539,255,100,3088,2220,157.584,60.358,,,,,,,
11,Image 5.tif (green),2498,3624.715,798.084,333.037,3584,758,70,78,65.576,48.502,117.059,79.925,255,100,3609,760,121.701,62.051,,,,,,,
110,Image 5.tif (green),2616,2517.368,1309.587,324.794,2482,1266,68,86,68.795,48.416,104.312,91.082,255,100,2504,1266,109.231,64.723,,,,,,,
299,Image 5.tif (green),2618,3261.968,2130.165,264.752,3226,2094,76,64,65.689,50.745,146.783,76.531,255,100,3226,2125,173.246,58.923,,,,,,,
50,Image 5.tif (green),2654,3701.764,1015.946,341.037,3665,976,63,87,76.31,44.282,100.256,88.459,255,100,3697,1063,79.579,61.318,,,,,,,
166,Image 5.tif (green),2695,2408.369,1499.049,355.723,2358,1470,90,61,82.45,41.618,159.012,98.005,255,100,2358,1484,151.343,51.321,,,,,,,
152,Image 5.tif (green),2750,1577.16,1447.342,262.267,1547,1409,60,71,66.822,52.399,75.681,73.661,255,100,1551,1475,48.302,59.895,,,,,,,
246,Image 5.tif (green),2864,2661.579,1804.616,275.238,2626,1770,68,74,76.244,47.827,141.403,86.215,255,100,2639,1770,127.933,53.123,,,,,,,
208,Image 5.tif (green),2956,818.943,1658.676,354.451,782,1616,80,76,75.541,49.823,144.495,89.811,255,100,791,1616,142.237,58.647,,,,,,,
321,Image 5.tif (green),2967,3248.816,2236.414,461.563,3209,2196,84,86,69.366,54.46,69.469,94.895,255,100,3209,2247,28.996,71.454,,,,,,,
201,Image 5.tif (green),3010,2463.99,1620.053,321.823,2428,1583,69,78,72.872,52.592,103.678,84.22,255,100,2440,1587,132.594,63.737,,,,,,,
89,Image 5.tif (green),3017,2030.639,1203.231,354.693,1995,1170,74,72,67.962,56.522,116.699,79.057,255,100,2005,1175,124.695,63.984,,,,,,,
105,Image 5.tif (green),3023,3473.569,1307.245,412.735,3442,1262,65,82,68.756,55.98,81.089,91.788,255,100,3456,1344,60.642,64.419,,,,,,,
64,Image 5.tif (green),3054,1806.462,1086.587,368.551,1776,1044,65,80,78.646,49.443,111.928,89,255,100,1792,1044,115.989,65,,,,,,,
340,Image 5.tif (green),3099,2814.618,2305.208,270.551,2771,2269,79,69,79.077,49.898,31.991,83.815,255,100,2771,2317,19.516,57.258,,,,,,,
203,Image 5.tif (green),3131,1482.336,1625.339,412.451,1429,1592,89,65,79.253,50.301,2.153,94.372,255,100,1431,1614,154.25,62.478,,,,,,,
195,Image 5.tif (green),3291,3186.985,1606.515,377.137,3153,1567,68,82,66.941,62.596,79.546,86.006,255,100,3169,1649,66.714,67.815,,,,,,,
100,Image 5.tif (green),3350,2254.854,1280.277,464.291,2206,1240,94,84,88.444,48.227,151.989,99.765,255,100,2208,1260,151.894,62.653,,,,,,,
261,Image 5.tif (green),3386,3232.895,1896.822,431.907,3197,1846,66,91,86.035,50.109,77.854,96.664,255,100,3197,1934,65.556,63.465,,,,,,,
314,Image 5.tif (green),3402,1271.15,2202.928,426.593,1212,2166,104,68,85.427,50.705,14.743,107.838,255,100,1212,2231,24.664,67.673,,,,,,,
320,Image 5.tif (green),3489,2902.254,2230.628,343.137,2857,2196,86,73,72.491,61.282,175.138,86.371,255,100,2857,2231,174.685,73,,,,,,,
315,Image 5.tif (green),3509,525.138,2211.218,483.22,484,2167,87,90,78.615,56.831,122.073,97.005,255,100,485,2180,142.539,81.342,,,,,,,
414,Image 5.tif (green),3549,1851.932,2742.035,309.338,1819,2699,84,72,76.284,59.236,131.957,100.125,255,100,1820,2708,145.993,72,,,,,,,
47,Image 5.tif (green),3562,3109.537,1005.792,508.191,3069,962,81,94,80.836,56.105,71.819,102.956,255,100,3090,1056,65.925,80.57,,,,,,,
204,Image 5.tif (green),3607,1593.68,1633.737,435.421,1544,1597,112,66,93.701,49.013,170.981,112.285,255,100,1544,1649,175.914,61.981,,,,,,,
99,Image 5.tif (green),3639,1969.476,1293.493,536.049,1926,1239,92,109,92.135,50.288,124.411,114.403,255,100,1926,1264,143.531,68.264,,,,,,,
251,Image 5.tif (green),3666,1291.139,1880.116,570.534,1258,1806,60,148,131.742,35.431,96.574,148.03,255,100,1299,1806,91.161,55.402,,,,,,,
54,Image 5.tif (green),3723,3350.556,1033.346,434.108,3314,996,75,87,80.545,58.852,65.827,94.303,255,100,3329,1082,55.804,73.221,,,,,,,
378,Image 5.tif (green),3772,3324.467,2485.003,297.522,3280,2447,91,72,84.194,57.043,17.135,91.662,255,100,3280,2491,6.892,62.892,,,,,,,
380,Image 5.tif (green),3832,2894.822,2503.922,417.806,2856,2460,80,85,75.006,65.049,119.974,93.509,255,100,2863,2466,138.468,78.435,,,,,,,
258,Image 5.tif (green),3893,679.726,1875.847,300.794,634,1840,86,72,79.377,62.445,8.632,88.023,255,100,634,1891,21.318,69.444,,,,,,,
306,Image 5.tif (green),3969,3384.388,2176.183,307.723,3338,2137,83,76,73.571,68.689,25.12,84.06,255,100,3345,2198,32.367,73.564,,,,,,,
396,Image 5.tif (green),3975,3296.406,2622.419,402.936,3263,2567,68,102,89.76,56.385,78.342,102.46,255,100,3270,2664,71.211,67.868,,,,,,,
184,Image 5.tif (green),4013,3536.985,1604.44,661.345,3472,1537,114,119,111.563,45.799,41.19,148.822,255,100,3488,1650,48.814,67.673,78.681,,13566,,0.295813062,,0.2
65,Image 5.tif (green),4022,3417.319,1086.501,291.622,3381,1044,73,89,85.303,60.033,60.177,95.708,255,100,3403,1133,63.97,61.853,72.668,,6497,,0.619054948,,0.3
210,Image 5.tif (green),4072,3413.369,1670.431,466.191,3372,1623,88,99,85.311,60.773,51.61,102.357,255,100,3392,1722,75.285,69.913,73.042,,8712,,0.467401286,,0.4
159,Image 5.tif (green),4154,3100.676,1491.045,352.35,3066,1441,70,95,93.279,56.701,108.536,99.328,255,100,3089,1441,106.975,62.067,74.99,,6650,,0.624661654,,0.5
134,Image 5.tif (green),4177,2343.056,1394.954,555.706,2288,1359,109,85,93.37,56.96,153.896,118.186,255,100,2289,1369,156.038,78.302,75.165,,9265,,0.450836481,,0.6
71,Image 5.tif (green),4190,2628.599,1117.396,307.865,2594,1075,68,92,85.296,62.546,93.674,92.266,255,100,2623,1167,85.649,66.996,73.921,,6256,,0.669757033,,0.7
348,Image 5.tif (green),4194,3133.78,2337.548,307.48,3090,2299,85,79,84.201,63.419,45.774,94.34,255,100,3090,2354,32.005,70.328,73.81,,6715,,0.624571854,,0.8
398,Image 5.tif (green),4198,2934,2621.425,313.137,2898,2577,69,89,86.238,61.98,84.246,92.655,255,100,2919,2578,108.239,65.388,74.109,,6141,,0.683602019,,
397,Image 5.tif (green),4284,2572.507,2617.895,355.037,2530,2572,79,83,79.273,68.807,61.137,89.828,255,100,2533,2641,43.647,78.716,74.04,,6557,,0.653347567,,
52,Image 5.tif (green),4362,2070.185,1028.964,506.191,2000,990,117,85,92.404,60.104,149.233,121.84,255,100,2000,1005,163.796,75.66,76.254,,9945,,0.438612368,,
262,Image 5.tif (green),4402,3152.324,1902.888,419.421,3108,1848,81,106,89.052,62.938,97.516,106.231,255,100,3144,1954,86.222,77.106,75.995,,8586,,0.512695085,,
224,Image 5.tif (green),4511,1881.274,1709.283,400.066,1831,1673,97,77,101.097,56.812,163.072,110.136,255,100,1835,1683,147.609,74.877,78.9545,,7469,,0.603963047,,
160,Image 5.tif (green),4591,2274.748,1500.317,578.191,2226,1443,101,95,84.342,69.306,156.01,110.535,255,100,2240,1451,138.668,89.438,76.824,,9595,,0.478478374,,
228,Image 5.tif (green),4700,3474.299,1743.664,563.362,3426,1692,92,104,97.128,61.612,57.205,115.421,255,100,3426,1769,37.962,78.644,79.37,,9568,,0.491220736,,
269,Image 5.tif (green),4710,2941.653,1935.683,363.078,2898,1892,82,92,85.463,70.17,50.066,98.737,255,100,2916,1974,56.149,76.608,77.8165,,7544,,0.624337222,,
38,Image 5.tif (green),4729,3176.545,949.973,377.321,3126,909,101,87,84.614,71.16,144.681,101.597,255,100,3126,937,173.784,77.346,77.887,,8787,,0.538181404,,
430,Image 5.tif (green),4855,2853.691,3039.58,368.894,2788,3008,131,54,121.088,51.05,1.596,131.187,255,100,2788,3055,176.941,54,86.069,,7074,,0.686316087,,
42,Image 5.tif (green),4863,2364.835,982.331,486.492,2315,936,94,90,91.205,67.888,122.269,118.258,255,100,2324,938,131.915,82.563,79.5465,,8460,,0.574822695,,
342,Image 5.tif (green),4896,3383.885,2323.741,440.007,3342,2275,80,106,98.769,63.115,102.962,110.136,255,100,3350,2278,110.739,78.625,80.942,,8480,,0.577358491,,
145,Image 5.tif (green),4995,3565.53,1450.07,446.35,3512,1395,97,101,96.904,65.63,59.404,112.712,255,100,3529,1495,62.526,75.239,81.267,,9797,,0.509849954,,
399,Image 5.tif (green),5077,1832.12,2647.678,378.208,1789,2606,93,84,84.153,76.815,177.431,94.048,255,100,1789,2636,171.439,81.243,80.484,,7812,,0.649897593,,
199,Image 5.tif (green),5078,3072.253,1633.558,457.078,3034,1579,75,120,96.112,67.27,93.632,120.934,255,100,3055,1699,82.875,73.045,81.691,,9000,,0.564222222,,
187,Image 5.tif (green),5081,3341.675,1583.055,556.09,3268,1541,134,80,112.212,57.653,170.743,134.302,255,100,3268,1591,176.158,77.123,84.9325,,10720,,0.473973881,,
364,Image 5.tif (green),5084,2723.287,2404.147,334.007,2678,2359,90,94,107.455,60.24,49.041,114.691,255,100,2686,2452,47.827,66.6,83.8475,,8460,,0.600945626,,
390,Image 5.tif (green),5107,2707.195,2593.854,491.019,2662,2541,101,103,91.769,70.857,125.596,110.114,255,100,2668,2551,140.528,94.215,81.313,,10403,,0.490916082,,
272,Image 5.tif (green),5117,577.332,1973.864,386.392,531,1928,83,107,91.669,71.073,106.684,108.812,255,100,565,1931,107.103,82.864,81.371,,8881,,0.576173854,,
410,Image 5.tif (green),5147,2652.139,2732.58,864.257,2572,2678,176,108,109.739,59.718,148.294,187.968,255,100,2572,2705,159.444,98.518,84.7285,,19008,,0.270780724,,
40,Image 5.tif (green),5247,2247.448,962.925,441.907,2195,917,97,100,98.889,67.557,126.479,113.534,255,100,2195,942,148.69,84.789,83.223,,9700,,0.540927835,,
355,Image 5.tif (green),5262,2580.609,2367.174,469.019,2534,2317,102,106,92.906,72.114,45.022,110,255,100,2537,2390,36.87,89.233,82.51,,10812,,0.486681465,,
248,Image 5.tif (green),5274,2758.897,1819.971,359.622,2713,1777,93,87,86.588,77.552,18.936,97.591,255,100,2722,1794,135.83,85.418,82.07,,8091,,0.651835373,,
292,Image 5.tif (green),5293,1821.08,2090.05,407.22,1773,2042,98,91,86.362,78.035,145.106,104.235,255,100,1773,2061,151.96,85.736,82.1985,,8918,,0.593518726,,
327,Image 5.tif (green),5353,1740.617,2267.892,345.865,1695,2222,92,92,94.519,72.109,135.802,98.087,255,100,1696,2256,156.571,82.287,83.314,,8464,,0.632443289,,
60,Image 5.tif (green),5376,1966.11,1079.654,795.245,1904,1026,132,104,104.441,65.539,163.959,139.646,255,100,1906,1065,158.58,88.443,84.99,,13728,,0.391608392,,
207,Image 5.tif (green),5521,1986.121,1665.457,588.475,1931,1614,105,95,89.326,78.695,146.416,112.614,255,100,1940,1629,142.214,94.391,84.0105,,9975,,0.553483709,,
122,Image 5.tif (green),5537,2830.23,1364.552,429.563,2778,1319,99,98,92.285,76.393,27.181,116.846,255,100,2787,1416,41.878,87.739,84.339,,9702,,0.570707071,,
349,Image 5.tif (green),5579,1963.326,2336.687,348.208,1911,2300,104,73,105.1,67.587,178.081,107.838,255,100,1912,2324,161.061,72.41,86.3435,,7592,,0.734852476,,
49,Image 5.tif (green),5649,3510.681,1042.139,526.919,3470,976,84,122,109.353,65.773,75.668,123.968,255,100,3497,1098,72.15,83.424,87.563,,10248,,0.551229508,,
392,Image 5.tif (green),5652,2833.614,2597.734,367.664,2780,2549,100,92,95.431,75.409,20.818,107.331,255,100,2784,2622,26.565,81.337,85.42,,9200,,0.614347826,,
9,Image 5.tif (green),5800,2981.598,813.522,755.245,2913,747,167,124,133.582,55.283,26.741,168.576,255,100,2913,840,7.842,91.04,94.4325,,20708,,0.280084991,,
291,Image 5.tif (green),5898,439.33,2099.545,405.664,404,2039,78,121,118.548,63.346,99.803,121.598,255,100,430,2158,78.136,71.067,90.947,,9438,,0.624920534,,
264,Image 5.tif (green),5901,2722.409,1921.082,372.593,2682,1860,82,116,105.452,71.249,91.132,119.817,255,100,2706,1860,104.5,78.48,88.3505,,9512,,0.620374264,,
188,Image 5.tif (green),5941,2357.752,1594.499,518.919,2301,1549,119,93,104.785,72.189,156.553,119.038,255,100,2301,1604,178.556,82.031,88.487,,11067,,0.53682118,,
168,Image 5.tif (green),6026,2134.939,1534.512,590.09,2090,1479,94,109,97.977,78.31,96.289,125.936,255,100,2099,1479,122.681,92.179,88.1435,,10246,,0.588131954,,
157,Image 5.tif (green),6061,1098.533,1466.084,406.35,1040,1428,120,78,113.047,68.265,171.455,121.342,255,100,1040,1445,171.469,73.713,90.656,,9360,,0.647542735,,
82,Image 5.tif (green),6064,3453.356,1189.041,406.25,3410,1135,90,101,96.038,80.395,65.559,111.036,255,100,3416,1233,46.095,83.525,88.2165,,9090,,0.667106711,,
70,Image 5.tif (green),6070,2727.843,1116.065,425.765,2678,1068,114,94,104.42,74.014,154.543,120.93,255,100,2692,1070,145.784,79.351,89.217,,10716,,0.566442703,,
96,Image 5.tif (green),6079,3165.615,1274.374,404.35,3122,1224,95,94,98.823,78.322,141.652,112.201,255,100,3126,1236,143.334,82.73,88.5725,,8930,,0.680739082,,
81,Image 5.tif (green),6100,2304.622,1188.491,642.475,2249,1129,102,114,98.152,79.13,60.933,115.918,255,100,2303,1243,79.563,98.907,88.641,,11628,,0.524595803,,
88,Image 5.tif (green),6114,2574.281,1213.801,435.179,2530,1165,92,97,90.702,85.826,152.076,101.514,255,100,2537,1178,145.84,91.625,88.264,,8924,,0.685118781,,
310,Image 5.tif (green),6128,2294.246,2206.912,397.078,2232,2158,122,95,103.118,75.665,11.787,123.794,255,100,2232,2224,9.767,83.071,89.3915,,11590,,0.528731665,,
223,Image 5.tif (green),6268,2463.772,1715.338,464.735,2406,1668,114,91,97.425,81.916,161.809,114.856,255,100,2406,1727,7.001,86.188,89.6705,,10374,,0.604202815,,
275,Image 5.tif (green),6341,683.2,1993.85,455.078,636,1939,98,109,105.479,76.543,110.528,118.072,255,100,650,1942,117.216,94.547,91.011,,10682,,0.593615428,,
222,Image 5.tif (green),6519,1228.383,1726.836,512.049,1182,1667,98,119,104.248,79.62,61.532,122.723,255,100,1213,1786,75.851,90.974,91.934,,11662,,0.558995027,,
287,Image 5.tif (green),6536,541.633,2079.509,390.007,493,2022,90,117,122.326,68.031,115.783,132.925,255,100,501,2026,121.777,81.084,95.1785,,10530,,0.620702754,,
276,Image 5.tif (green),6537,3147.488,2003.647,515.948,3098,1948,111,108,100.483,82.831,159.258,134.034,255,100,3098,1948,144.413,94.611,91.657,,11988,,0.545295295,,
406,Image 5.tif (green),6559,2754.43,2691.341,376.978,2713,2636,93,110,102.849,81.199,55.053,113.886,255,100,2730,2745,73.156,85.041,92.024,,10230,,0.64115347,,
379,Image 5.tif (green),6567,2771.442,2495.868,438.676,2708,2449,126,99,124.422,67.202,25.238,130,255,100,2708,2500,14.25,72.859,95.812,,12474,,0.526455026,,
370,Image 5.tif (green),6610,2293.65,2465.062,413.279,2247,2406,92,110,104.699,80.384,77.035,111.611,255,100,2268,2515,77.583,86.024,92.5415,,10120,,0.653162055,,
293,Image 5.tif (green),6619,650.464,2100.547,428.149,605,2049,100,104,94.324,89.347,120.616,108.688,255,100,607,2130,25.622,92.064,91.8355,,10400,,0.636442308,,
391,Image 5.tif (green),6619,1930.203,2593.804,343.037,1881,2543,96,98,102.368,82.327,46.416,106.963,255,100,1895,2636,48.411,89.162,92.3475,,9408,,0.70355017,,
37,Image 5.tif (green),6698,3629.206,955.729,617.404,3569,892,110,154,101.089,84.363,80.602,154.263,255,100,3623,892,93.345,101.459,92.726,,16940,,0.395395514,,
400,Image 5.tif (green),6794,2484.232,2716.989,728.316,2414,2614,116,180,135.057,64.05,77.149,183.861,255,100,2459,2794,76.795,91.675,99.5535,,20880,,0.325383142,,
328,Image 5.tif (green),6812,972.019,2278.609,550.718,923,2224,109,109,101.933,85.089,130.571,116.846,255,100,947,2228,131.878,94.875,93.511,,11881,,0.573352411,,
341,Image 5.tif (green),6828,2077.679,2317.356,347.279,2032,2270,104,93,98.717,88.067,28.322,109.932,255,100,2034,2342,21.898,93,93.392,,9672,,0.705955335,,
62,Image 5.tif (green),6846,2229.766,1079.359,642.818,2169,1029,127,103,109.917,79.302,5.066,128.133,255,100,2169,1067,172.376,95.83,94.6095,,13081,,0.523354484,,
131,Image 5.tif (green),6922,1887.5,1405.801,605.647,1839,1351,106,111,98.204,89.746,75.795,119.202,255,100,1860,1461,52.842,99.399,93.975,,11766,,0.588305286,,
280,Image 5.tif (green),6955,2645.43,2030.06,506.576,2580,1982,122,100,106.874,82.858,149.6,125.399,255,100,2580,2019,166.629,92.986,94.866,,12200,,0.570081967,,
178,Image 5.tif (green),6967,1058.947,1554.495,445.463,997,1512,134,84,127.106,69.79,169.372,135.484,255,100,997,1539,171.511,78.956,98.448,,11256,,0.618958778,,
367,Image 5.tif (green),6991,3014.172,2421.289,434.049,2955,2377,116,85,113.63,78.335,15.58,127.094,255,100,2957,2451,31.814,83.388,95.9825,,9860,,0.709026369,,
335,Image 5.tif (green),6993,3009.626,2296.324,479.706,2952,2248,122,100,116.198,76.626,151.839,126.846,255,100,2956,2268,157.276,93.798,96.412,,12200,,0.573196721,,
