, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
133,134,hfd28 ep1 tip.tif  (red) thresh.tif,4149,2705.1420000000003,875.435,375.56300000000005,2664,833,84,89,83.618,63.177,57.533,96.385,255,100,2665,903,30.555999999999997,72.133,0.555
134,135,hfd28 ep1 tip.tif  (red) thresh.tif,9052,2808.173,898.46,610.115,2744,838,127,121,117.814,97.82600000000001,9.654,130.495,255,100,2744,908,13.290999999999999,115.274,0.5891
135,136,hfd28 ep1 tip.tif  (red) thresh.tif,4388,4055.822,901.4639999999999,404.392,4020,841,61,115,98.795,56.551,89.382,115.624,255,100,4054,841,95.95700000000001,60.705,0.6255
136,137,hfd28 ep1 tip.tif  (red) thresh.tif,6713,3009.335,901.725,494.61699999999996,2953,849,112,99,97.104,88.022,166.47799999999998,112.641,255,100,2953,898,173.88400000000001,95.154,0.6054
137,138,hfd28 ep1 tip.tif  (red) thresh.tif,8084,3114.433,916.2080000000001,550.86,3059,851,107,120,112.69,91.338,70.914,125.936,255,100,3089,969,69.55,99.25399999999999,0.6296
138,139,hfd28 ep1 tip.tif  (red) thresh.tif,4100,1733.9379999999999,897.322,569.1030000000001,1685,862,91,79,80.618,64.75399999999999,17.51,94.303,255,100,1712,941,55.803999999999995,77.08,0.5703
139,140,hfd28 ep1 tip.tif  (red) thresh.tif,6638,2148.2070000000003,914.465,543.203,2089,867,119,102,103.085,81.988,16.223,121.20200000000001,255,100,2089,919,10.939,97.94,0.5469
140,141,hfd28 ep1 tip.tif  (red) thresh.tif,6055,3395.0409999999997,924.836,525.245,3346,873,107,99,103.804,74.27,32.864000000000004,111.82600000000001,255,100,3363,971,51.9,90.508,0.5716
141,142,hfd28 ep1 tip.tif  (red) thresh.tif,4090,2482.202,920.317,710.215,2430,881,103,88,77.036,67.59899999999999,172.636,104.21600000000001,255,100,2437,940,25.581999999999997,87.064,0.4512
142,143,hfd28 ep1 tip.tif  (red) thresh.tif,9312,2901.199,952.627,495.647,2842,886,114,125,124.695,95.083,69.778,128.888,255,100,2854,996,48.145,96.111,0.6535
143,144,hfd28 ep1 tip.tif  (red) thresh.tif,5798,3213.843,946.5419999999999,670.801,3167,893,92,107,96.34299999999999,76.625,76.26,116.29700000000001,255,100,3196,1000,64.53699999999999,83.525,0.589
144,145,hfd28 ep1 tip.tif  (red) thresh.tif,15693,3675.212,967.057,1483.4260000000002,3570,896,215,145,200.548,99.632,162.968,227.30599999999998,255,100,3573,916,158.85399999999998,135.148,0.5034
145,146,hfd28 ep1 tip.tif  (red) thresh.tif,7566,1970.049,969.363,949.595,1916,902,112,120,98.87700000000001,97.427,159.727,130.602,255,100,1935,918,127.221,111.486,0.5629
146,147,hfd28 ep1 tip.tif  (red) thresh.tif,8739,2387.129,986.7719999999999,827.7539999999999,2325,925,125,117,115.25,96.545,132.707,145.086,255,100,2352,927,128.845,114.67399999999999,0.5975
147,148,hfd28 ep1 tip.tif  (red) thresh.tif,9359,2681.137,985.2739999999999,711.428,2614,927,125,120,113.755,104.75299999999999,132.659,132.09799999999998,255,100,2622,962,150.524,118.48,0.6239
148,149,hfd28 ep1 tip.tif  (red) thresh.tif,3736,3301.8759999999997,969.933,554.86,3249,934,100,72,84.881,56.041000000000004,20.371,105.546,255,100,3249,998,27.051,71.007,0.5189
149,150,hfd28 ep1 tip.tif  (red) thresh.tif,3509,1469.539,975.7260000000001,477.20300000000003,1424,941,88,77,85.54899999999999,52.225,40.185,95.131,255,100,1426,1002,33.857,59.281000000000006,0.5179
150,151,hfd28 ep1 tip.tif  (red) thresh.tif,18316,1630.5739999999998,1023.5089999999999,1889.332,1468,943,355,147,314.27099999999996,74.206,7.497999999999999,371.57099999999997,255,100,1470,1073,18.679000000000002,131.007,0.351
151,152,hfd28 ep1 tip.tif  (red) thresh.tif,4253,1859.8970000000002,995.159,474.475,1814,950,87,90,81.222,66.67,23.675,97.417,255,100,1814,1017,31.569000000000003,81.805,0.5432
152,153,hfd28 ep1 tip.tif  (red) thresh.tif,11225,3508.259,1042.15,1341.2420000000002,3413,950,196,181,175.8,81.298,40.223,201.792,255,100,3413,1086,13.761,121.67299999999999,0.3164
153,154,hfd28 ep1 tip.tif  (red) thresh.tif,5895,2076.4410000000003,1007.262,646.659,2027,955,107,101,90.16799999999999,83.242,21.433000000000003,117.068,255,100,2033,1042,34.912,97.821,0.5455
154,155,hfd28 ep1 tip.tif  (red) thresh.tif,5722,3014.006,997.8580000000001,849.955,2950,955,121,83,103.095,70.668,20.607,131.183,255,100,2951,1026,23.829,81.699,0.5698
155,156,hfd28 ep1 tip.tif  (red) thresh.tif,4949,2511.5879999999997,1017.565,732.3989999999999,2465,967,107,101,100.895,62.45399999999999,43.055,118.811,255,100,2473,1054,36.098,80.777,0.4579
156,157,hfd28 ep1 tip.tif  (red) thresh.tif,4720,3129.978,1025.463,602.659,3091,977,85,101,89.03299999999999,67.499,90.09700000000001,101.65100000000001,255,100,3120,1075,74.597,83.427,0.5498
157,158,hfd28 ep1 tip.tif  (red) thresh.tif,5519,2280.038,1040.9260000000002,463.647,2242,994,84,100,90.36200000000001,77.765,81.477,101.71,255,100,2260,1091,59.906000000000006,84.0,0.657
158,159,hfd28 ep1 tip.tif  (red) thresh.tif,20111,3395.9590000000003,1156.44,2445.464,3305,995,218,338,305.593,83.792,116.999,351.68199999999996,255,100,3346,1001,109.259,132.083,0.2729
159,160,hfd28 ep1 tip.tif  (red) thresh.tif,12155,3855.086,1103.62,1309.886,3763,1005,189,204,229.84099999999998,67.334,128.47899999999998,235.077,255,100,3771,1027,140.35,93.13799999999999,0.3153
160,161,hfd28 ep1 tip.tif  (red) thresh.tif,5897,2819.322,1053.29,513.161,2766,1007,101,91,95.876,78.312,5.1,108.67399999999999,255,100,2766,1074,26.801,86.63600000000001,0.6416
161,162,hfd28 ep1 tip.tif  (red) thresh.tif,37129,3140.696,1121.306,2732.844,2956,1010,366,217,317.966,148.67700000000002,2.2969999999999997,370.885,255,100,2956,1086,170.69,211.356,0.4675
162,163,hfd28 ep1 tip.tif  (red) thresh.tif,5239,1970.362,1073.57,648.6,1916,1024,106,104,95.971,69.506,26.408,106.25399999999999,255,100,1970,1128,71.906,90.88600000000001,0.4752
163,164,hfd28 ep1 tip.tif  (red) thresh.tif,8207,3612.03,1103.233,1027.82,3547,1025,131,147,116.78299999999999,89.478,44.313,161.15200000000002,255,100,3586,1160,55.62,108.03399999999999,0.4262
164,165,hfd28 ep1 tip.tif  (red) thresh.tif,6456,1822.894,1082.74,675.671,1771,1034,115,97,102.696,80.042,22.559,119.436,255,100,1778,1115,25.278000000000002,96.663,0.5788
165,166,hfd28 ep1 tip.tif  (red) thresh.tif,3448,2715.0370000000003,1082.642,403.22,2678,1044,73,90,78.186,56.15,74.574,91.78200000000001,255,100,2712,1134,78.69,71.46600000000001,0.5248
166,167,hfd28 ep1 tip.tif  (red) thresh.tif,25073,3799.955,1197.319,2465.0789999999997,3672,1046,258,326,305.753,104.411,124.235,376.324,255,100,3692,1046,119.971,160.21,0.2981
167,168,hfd28 ep1 tip.tif  (red) thresh.tif,5729,1604.3770000000002,1110.402,887.796,1538,1062,129,104,105.23100000000001,69.318,163.99400000000003,130.69799999999998,255,100,1538,1092,170.75400000000002,92.48299999999999,0.427
168,169,hfd28 ep1 tip.tif  (red) thresh.tif,5505,2110.37,1110.384,520.375,2058,1063,96,90,91.204,76.852,40.141999999999996,104.04299999999999,255,100,2063,1143,35.218,88.10700000000001,0.6372
169,170,hfd28 ep1 tip.tif  (red) thresh.tif,3116,1728.9620000000002,1107.603,373.12,1683,1065,78,83,68.734,57.722,48.566,85.959,255,100,1683,1120,29.249000000000002,62.821999999999996,0.4813
170,171,hfd28 ep1 tip.tif  (red) thresh.tif,6288,2900.9440000000004,1124.877,472.676,2864,1071,79,113,106.551,75.139,76.445,115.676,255,100,2866,1179,55.211000000000006,79.0,0.7044
171,172,hfd28 ep1 tip.tif  (red) thresh.tif,6370,2464.198,1120.4569999999999,482.81800000000004,2418,1073,99,110,92.344,87.829,87.40799999999999,114.01799999999999,255,100,2434,1073,105.255,94.85799999999999,0.5849
172,173,hfd28 ep1 tip.tif  (red) thresh.tif,4405,2213.554,1128.444,675.2860000000001,2165,1080,99,91,78.475,71.47,10.354000000000001,99.323,255,100,2165,1119,175.38,85.988,0.489
173,174,hfd28 ep1 tip.tif  (red) thresh.tif,5182,2785.618,1142.39,809.654,2734,1095,114,104,91.288,72.27600000000001,174.14700000000002,124.34200000000001,255,100,2739,1112,148.483,99.613,0.4371
174,175,hfd28 ep1 tip.tif  (red) thresh.tif,3298,3510.0370000000003,1157.593,448.718,3468,1119,84,81,68.663,61.156000000000006,63.748000000000005,85.15899999999999,255,100,3468,1152,170.53799999999998,73.749,0.4847
175,176,hfd28 ep1 tip.tif  (red) thresh.tif,5528,4052.119,1186.344,489.74699999999996,4012,1131,69,135,121.235,58.056000000000004,93.11,138.246,255,100,4032,1132,104.23700000000001,68.428,0.5935
176,177,hfd28 ep1 tip.tif  (red) thresh.tif,5492,2288.47,1187.213,626.215,2242,1132,94,107,92.38,75.694,58.295,109.65899999999999,255,100,2273,1132,102.64200000000001,88.475,0.546
177,178,hfd28 ep1 tip.tif  (red) thresh.tif,5666,1682.746,1183.639,521.061,1634,1135,109,91,89.05799999999999,81.005,19.727999999999998,110.16799999999999,255,100,1634,1183,171.649,87.713,0.5712
178,179,hfd28 ep1 tip.tif  (red) thresh.tif,18101,1871.7089999999998,1234.6589999999999,2086.244,1747,1138,240,202,231.67,99.48200000000001,144.864,272.663,255,100,1748,1163,147.126,190.571,0.3734
179,180,hfd28 ep1 tip.tif  (red) thresh.tif,5695,3691.317,1190.333,423.161,3643,1143,96,96,95.995,75.53699999999999,135.601,104.389,255,100,3665,1143,113.12700000000001,87.39299999999999,0.6179
180,181,hfd28 ep1 tip.tif  (red) thresh.tif,5562,3573.866,1215.369,628.8430000000001,3516,1165,113,100,99.56,71.131,34.972,125.71799999999999,255,100,3521,1251,31.666999999999998,85.934,0.4922
181,182,hfd28 ep1 tip.tif  (red) thresh.tif,4422,2587.308,1233.403,473.161,2536,1171,95,97,81.033,69.48100000000001,9.931000000000001,104.54700000000001,255,100,2580,1171,111.90299999999999,87.965,0.4799
182,183,hfd28 ep1 tip.tif  (red) thresh.tif,7234,3955.4709999999995,1240.915,731.796,3902,1181,111,130,98.334,93.666,119.501,130.863,255,100,3947,1311,83.41799999999999,99.97,0.5013
183,184,hfd28 ep1 tip.tif  (red) thresh.tif,3458,2480.975,1234.2839999999999,455.647,2444,1190,78,87,74.086,59.428999999999995,96.39399999999999,87.573,255,100,2482,1190,96.557,75.572,0.5096
184,185,hfd28 ep1 tip.tif  (red) thresh.tif,5667,2812.198,1244.76,516.2909999999999,2763,1198,103,92,101.85799999999999,70.83800000000001,25.43,112.60600000000001,255,100,2772,1284,33.408,80.38600000000001,0.598
185,186,hfd28 ep1 tip.tif  (red) thresh.tif,4647,2158.584,1253.382,568.617,2103,1207,97,96,87.169,67.877,27.386999999999997,106.024,255,100,2139,1303,64.885,84.587,0.499
186,187,hfd28 ep1 tip.tif  (red) thresh.tif,8779,3029.237,1260.884,492.676,2975,1207,116,111,112.25,99.579,144.342,123.065,255,100,2975,1227,155.518,104.001,0.6818
187,188,hfd28 ep1 tip.tif  (red) thresh.tif,4600,2911.475,1262.494,730.4580000000001,2863,1211,101,105,79.477,73.693,57.89,109.25200000000001,255,100,2863,1281,23.749000000000002,92.416,0.4338
188,189,hfd28 ep1 tip.tif  (red) thresh.tif,12252,2703.57,1300.992,959.1510000000001,2636,1214,132,176,168.21099999999998,92.73899999999999,115.241,191.416,255,100,2673,1214,116.03,116.385,0.5274
189,190,hfd28 ep1 tip.tif  (red) thresh.tif,44604,1854.455,1405.12,4057.333,1686,1216,345,352,328.246,173.015,131.151,418.07300000000004,255,100,1692,1242,133.352,312.518,0.3673
190,191,hfd28 ep1 tip.tif  (red) thresh.tif,8663,3355.82,1282.63,696.541,3296,1220,123,123,106.023,104.03399999999999,150.453,123.584,255,100,3356,1343,84.428,107.155,0.5726
191,192,hfd28 ep1 tip.tif  (red) thresh.tif,3836,2030.3010000000002,1271.465,604.9019999999999,1989,1230,87,93,84.459,57.82899999999999,39.784,109.01799999999999,255,100,1989,1306,37.921,76.416,0.4741
192,193,hfd28 ep1 tip.tif  (red) thresh.tif,5170,2252.826,1292.385,700.742,2200,1230,102,113,84.456,77.942,87.95299999999999,113.635,255,100,2234,1230,96.06200000000001,92.495,0.4486
193,194,hfd28 ep1 tip.tif  (red) thresh.tif,15717,3238.1009999999997,1338.244,1640.68,3139,1235,203,181,145.793,137.26,163.725,203.887,255,100,3139,1365,174.653,180.237,0.4278
194,195,hfd28 ep1 tip.tif  (red) thresh.tif,3489,2351.455,1274.719,467.404,2314,1236,78,77,72.02,61.681999999999995,50.41,84.38600000000001,255,100,2326,1309,49.325,68.351,0.5809
195,196,hfd28 ep1 tip.tif  (red) thresh.tif,6059,3125.033,1303.525,618.115,3072,1253,104,106,101.241,76.2,37.925,115.12200000000001,255,100,3101,1359,57.413999999999994,88.82700000000001,0.5496
196,197,hfd28 ep1 tip.tif  (red) thresh.tif,4494,2578.8979999999997,1320.566,491.26199999999994,2536,1278,99,86,85.816,66.67699999999999,20.570999999999998,100.13,255,100,2536,1331,8.616,77.416,0.5278
197,198,hfd28 ep1 tip.tif  (red) thresh.tif,4942,2829.703,1330.759,527.931,2779,1293,106,87,89.5,70.305,11.442,106.042,255,100,2779,1331,1.621,84.994,0.5359
198,199,hfd28 ep1 tip.tif  (red) thresh.tif,3209,3986.945,1330.931,368.978,3946,1296,72,73,68.39,59.743,39.16,81.39399999999999,255,100,3973,1369,63.75,65.02199999999999,0.6105
199,200,hfd28 ep1 tip.tif  (red) thresh.tif,9054,3009.5229999999997,1356.713,890.08,2915,1297,171,119,153.845,74.932,158.91,174.63400000000001,255,100,2915,1329,165.407,96.89299999999999,0.4449
200,201,hfd28 ep1 tip.tif  (red) thresh.tif,3247,3779.276,1360.84,767.227,3718,1313,114,83,79.958,51.705,170.49900000000002,119.25200000000001,255,100,3718,1340,162.933,77.115,0.3432
201,202,hfd28 ep1 tip.tif  (red) thresh.tif,10966,2190.011,1416.195,947.737,2142,1318,96,196,185.97299999999998,75.077,90.179,196.736,255,100,2170,1514,85.04299999999999,96.0,0.5828
202,203,hfd28 ep1 tip.tif  (red) thresh.tif,16981,3410.288,1405.6760000000002,1742.621,3281,1319,277,189,278.529,77.625,25.839000000000002,302.775,255,100,3281,1479,26.057,119.98100000000001,0.3244
203,204,hfd28 ep1 tip.tif  (red) thresh.tif,11054,2290.238,1421.889,1122.365,2243,1323,105,197,187.805,74.942,75.67399999999999,198.761,255,100,2260,1514,73.936,99.946,0.5344
204,205,hfd28 ep1 tip.tif  (red) thresh.tif,4054,2898.7659999999996,1384.875,309.12,2861,1339,89,85,72.944,70.762,3.2760000000000002,91.005,255,100,2861,1379,167.949,74.74600000000001,0.5359
205,206,hfd28 ep1 tip.tif  (red) thresh.tif,4403,2634.118,1383.031,392.04900000000004,2592,1340,90,88,80.735,69.438,75.882,95.016,255,100,2615,1423,59.657,78.793,0.5559
206,207,hfd28 ep1 tip.tif  (red) thresh.tif,6865,2102.552,1420.451,653.428,2049,1367,116,98,105.345,82.973,20.930999999999997,123.13,255,100,2050,1447,20.936999999999998,94.227,0.6039
207,208,hfd28 ep1 tip.tif  (red) thresh.tif,7899,2803.508,1424.701,662.215,2745,1370,115,117,110.74600000000001,90.814,141.281,128.281,255,100,2750,1389,149.036,103.0,0.5871
208,209,hfd28 ep1 tip.tif  (red) thresh.tif,4480,4019.321,1409.287,366.291,3973,1371,97,78,94.185,60.563,169.053,99.464,255,100,3973,1428,12.779000000000002,74.488,0.5921
209,210,hfd28 ep1 tip.tif  (red) thresh.tif,4826,3116.131,1422.8229999999999,507.588,3070,1372,90,96,85.889,71.542,118.059,97.57600000000001,255,100,3079,1461,65.79899999999999,86.73899999999999,0.5586
210,211,hfd28 ep1 tip.tif  (red) thresh.tif,14305,2444.0429999999997,1468.851,976.5239999999999,2359,1375,171,174,201.169,90.539,128.55200000000002,228.127,255,100,2365,1378,131.446,124.271,0.4808
211,212,hfd28 ep1 tip.tif  (red) thresh.tif,4064,3568.4829999999997,1429.781,480.032,3518,1388,88,85,91.77799999999999,56.38,38.76,104.995,255,100,3526,1460,40.365,69.579,0.5433
212,213,hfd28 ep1 tip.tif  (red) thresh.tif,3518,3754.595,1437.0420000000001,480.81800000000004,3700,1397,94,78,84.541,52.983000000000004,144.21,101.39,255,100,3700,1427,157.989,66.06,0.4798
213,214,hfd28 ep1 tip.tif  (red) thresh.tif,4984,2559.762,1447.233,541.144,2507,1398,102,98,84.684,74.935,34.444,102.176,255,100,2507,1442,176.63400000000001,85.929,0.4986
214,215,hfd28 ep1 tip.tif  (red) thresh.tif,3349,2695.66,1439.8629999999998,369.94800000000004,2659,1399,79,79,70.46,60.518,64.494,81.492,255,100,2667,1463,29.396,66.468,0.5366
215,216,hfd28 ep1 tip.tif  (red) thresh.tif,5531,3224.3959999999997,1447.445,495.20300000000003,3169,1405,108,89,94.684,74.377,8.186,108.296,255,100,3169,1455,4.236000000000001,78.257,0.5754
216,217,hfd28 ep1 tip.tif  (red) thresh.tif,9643,2950.812,1492.596,937.092,2872,1412,150,154,149.543,82.102,132.816,160.89700000000002,255,100,2895,1429,124.875,115.74799999999999,0.4174
217,218,hfd28 ep1 tip.tif  (red) thresh.tif,6529,3448.2909999999997,1472.6660000000002,858.9680000000001,3389,1420,115,113,113.839,73.024,37.621,133.417,255,100,3399,1520,40.135,91.279,0.5024
218,219,hfd28 ep1 tip.tif  (red) thresh.tif,5332,3626.965,1491.2920000000001,585.831,3582,1421,99,111,87.15700000000001,77.893,76.602,119.854,255,100,3589,1528,63.221000000000004,89.76700000000001,0.4852
219,220,hfd28 ep1 tip.tif  (red) thresh.tif,8904,1322.386,1496.8229999999999,638.701,1263,1436,117,125,120.381,94.176,61.631,136.125,255,100,1264,1543,40.83,106.545,0.6088
220,221,hfd28 ep1 tip.tif  (red) thresh.tif,4109,2365.5389999999998,1500.231,619.002,2326,1452,78,106,90.363,57.897,67.59,106.042,255,100,2354,1452,91.62100000000001,72.317,0.497
221,222,hfd28 ep1 tip.tif  (red) thresh.tif,5116,3821.528,1509.9560000000001,568.659,3777,1460,91,98,85.16,76.49,82.641,103.755,255,100,3796,1558,63.681999999999995,86.82799999999999,0.5737
222,223,hfd28 ep1 tip.tif  (red) thresh.tif,5496,3160.1040000000003,1514.904,475.647,3113,1463,99,92,93.302,75.001,5.215,102.956,255,100,3114,1493,150.945,88.505,0.6034
223,224,hfd28 ep1 tip.tif  (red) thresh.tif,4509,2738.77,1517.999,641.63,2699,1473,88,93,80.096,71.67699999999999,69.217,95.56700000000001,255,100,2725,1473,103.309,87.85799999999999,0.551
224,225,hfd28 ep1 tip.tif  (red) thresh.tif,7015,3053.6940000000004,1554.5439999999999,881.4110000000001,2987,1473,120,139,126.95,70.357,60.903999999999996,153.717,255,100,2987,1589,41.571999999999996,92.914,0.4206
225,226,hfd28 ep1 tip.tif  (red) thresh.tif,4066,2870.865,1533.759,519.446,2838,1482,72,104,84.54,61.236999999999995,90.238,106.73299999999999,255,100,2841,1586,77.005,69.033,0.543
226,227,hfd28 ep1 tip.tif  (red) thresh.tif,3017,3514.7070000000003,1532.234,791.997,3443,1486,128,86,99.81299999999999,38.485,25.961,139.542,255,100,3443,1567,27.3,66.587,0.2741
227,228,hfd28 ep1 tip.tif  (red) thresh.tif,9385,2184.3360000000002,1548.894,1556.739,2065,1490,216,125,186.15,64.192,162.07399999999998,220.465,255,100,2066,1503,157.04,99.76299999999999,0.3476
228,229,hfd28 ep1 tip.tif  (red) thresh.tif,7198,3730.599,1559.23,828.198,3673,1490,102,155,145.11700000000002,63.153999999999996,96.619,157.69,255,100,3703,1490,100.59700000000001,94.71700000000001,0.4553
229,230,hfd28 ep1 tip.tif  (red) thresh.tif,4961,3263.127,1536.8470000000002,485.404,3218,1493,100,90,90.48299999999999,69.809,25.318,101.272,255,100,3218,1546,9.09,84.919,0.5512
230,231,hfd28 ep1 tip.tif  (red) thresh.tif,4678,3364.361,1545.015,635.144,3320,1494,114,86,93.148,63.943000000000005,158.37,114.98299999999999,255,100,3320,1562,7.496,83.633,0.4772
231,232,hfd28 ep1 tip.tif  (red) thresh.tif,5691,2574.295,1551.2379999999998,526.96,2526,1502,100,98,90.984,79.64,176.493,102.883,255,100,2529,1576,21.076999999999998,93.508,0.5807
232,233,hfd28 ep1 tip.tif  (red) thresh.tif,4457,4010.0170000000003,1600.365,1045.98,3961,1522,91,164,120.87700000000001,46.946999999999996,98.579,166.90400000000002,255,100,3995,1522,100.704,80.303,0.2986
233,234,hfd28 ep1 tip.tif  (red) thresh.tif,6446,2038.503,1600.024,814.825,1990,1538,99,121,101.818,80.607,96.695,125.16,255,100,2026,1659,75.187,98.488,0.5381
234,235,hfd28 ep1 tip.tif  (red) thresh.tif,4979,3566.7459999999996,1595.578,769.7130000000001,3507,1539,114,98,94.83,66.851,24.453000000000003,117.068,255,100,3509,1614,34.912,83.74600000000001,0.4457
235,236,hfd28 ep1 tip.tif  (red) thresh.tif,5241,3840.097,1604.7920000000001,536.375,3795,1554,89,102,85.441,78.101,75.548,107.205,255,100,3809,1656,72.072,87.712,0.5773
236,237,hfd28 ep1 tip.tif  (red) thresh.tif,10829,2448.224,1609.356,759.37,2368,1555,154,108,137.77200000000002,100.07799999999999,7.0520000000000005,155.541,255,100,2370,1619,12.249,105.53399999999999,0.6511
237,238,hfd28 ep1 tip.tif  (red) thresh.tif,7534,2672.313,1610.085,605.63,2617,1557,115,102,105.626,90.816,20.676,119.50299999999999,255,100,2629,1650,44.661,101.73100000000001,0.6423
238,239,hfd28 ep1 tip.tif  (red) thresh.tif,5865,3165.67,1600.4620000000002,551.446,3113,1559,116,79,108.69,68.705,175.562,117.098,255,100,3113,1583,172.14700000000002,78.095,0.64
239,240,hfd28 ep1 tip.tif  (red) thresh.tif,7649,2140.263,1632.259,542.86,2091,1565,101,125,116.162,83.84,123.462,140.431,255,100,2103,1565,117.11200000000001,96.40799999999999,0.6059
240,241,hfd28 ep1 tip.tif  (red) thresh.tif,4876,1767.09,1608.105,633.446,1701,1576,184,72,131.52700000000002,47.202,20.654,193.53599999999997,255,100,1701,1638,18.06,65.111,0.3681
241,242,hfd28 ep1 tip.tif  (red) thresh.tif,22869,3489.087,1698.899,2228.1679999999997,3378,1577,215,282,231.567,125.742,121.28,299.628,255,100,3433,1578,110.31,181.399,0.3772
242,243,hfd28 ep1 tip.tif  (red) thresh.tif,3692,2900.3720000000003,1616.453,325.664,2854,1581,86,69,76.107,61.765,14.338,89.493,255,100,2855,1628,18.232,67.561,0.6222
243,244,hfd28 ep1 tip.tif  (red) thresh.tif,5000,1945.287,1642.3220000000001,850.0980000000001,1901,1583,86,139,100.575,63.298,92.678,139.80700000000002,255,100,1949,1722,83.84100000000001,82.302,0.4183
244,245,hfd28 ep1 tip.tif  (red) thresh.tif,3339,3942.402,1635.3139999999999,574.659,3904,1583,72,99,79.998,53.143,74.89,100.807,255,100,3927,1682,79.13600000000001,71.597,0.4684
245,246,hfd28 ep1 tip.tif  (red) thresh.tif,6829,3313.145,1619.4260000000002,629.144,3238,1584,161,76,155.94299999999998,55.757,7.757000000000001,164.976,255,100,3238,1638,12.604000000000001,71.654,0.5581
246,247,hfd28 ep1 tip.tif  (red) thresh.tif,5938,2562.462,1643.0610000000001,391.07800000000003,2509,1595,105,87,96.23899999999999,78.56,169.53,105.07600000000001,255,100,2509,1651,177.81799999999998,86.854,0.65
247,248,hfd28 ep1 tip.tif  (red) thresh.tif,3254,2785.0009999999997,1634.213,506.333,2741,1596,87,70,76.11399999999999,54.433,21.802,91.92399999999999,255,100,2743,1658,30.75,64.315,0.5343
248,249,hfd28 ep1 tip.tif  (red) thresh.tif,4305,3076.1009999999997,1656.8870000000002,513.889,3030,1616,96,78,83.441,65.69,14.940999999999999,96.333,255,100,3030,1650,4.763999999999999,73.913,0.5749
249,250,hfd28 ep1 tip.tif  (red) thresh.tif,7344,2243.556,1676.425,524.96,2183,1619,113,111,118.87299999999999,78.661,43.183,128.701,255,100,2185,1704,32.949,88.198,0.5855
250,251,hfd28 ep1 tip.tif  (red) thresh.tif,5467,3652.8979999999997,1677.826,635.487,3600,1624,100,95,89.57799999999999,77.706,8.015,111.414,255,100,3600,1697,28.405,90.678,0.5755
251,252,hfd28 ep1 tip.tif  (red) thresh.tif,17521,3175.699,1737.305,984.566,3092,1634,162,204,211.56599999999997,105.444,62.986999999999995,220.565,255,100,3116,1834,65.062,123.824,0.5302
252,253,hfd28 ep1 tip.tif  (red) thresh.tif,5214,3748.125,1699.48,714.257,3703,1645,90,107,99.755,66.55,61.856,120.507,255,100,3704,1741,49.038000000000004,82.73899999999999,0.5414
253,254,hfd28 ep1 tip.tif  (red) thresh.tif,8895,3861.4640000000004,1702.81,546.4159999999999,3796,1647,138,113,119.415,94.84100000000001,5.955,141.014,255,100,3796,1717,11.868,102.085,0.5704
254,255,hfd28 ep1 tip.tif  (red) thresh.tif,33543,3288.1620000000003,1819.273,2715.111,3128,1648,292,316,246.304,173.39700000000002,75.46,324.099,255,100,3257,1964,77.164,281.945,0.3635
255,256,hfd28 ep1 tip.tif  (red) thresh.tif,7596,2452.482,1719.9170000000001,715.328,2399,1663,110,118,106.74600000000001,90.603,76.94800000000001,139.786,255,100,2426,1780,56.083,101.0,0.5852
256,257,hfd28 ep1 tip.tif  (red) thresh.tif,8297,2904.386,1716.213,809.955,2838,1664,129,120,123.30799999999999,85.67200000000001,145.47,150.07299999999998,255,100,2844,1673,132.299,94.79700000000001,0.536
257,258,hfd28 ep1 tip.tif  (red) thresh.tif,6167,2660.1040000000003,1716.267,745.529,2612,1666,105,107,104.449,75.176,28.857,126.811,255,100,2616,1758,41.483000000000004,93.0,0.5489
258,259,hfd28 ep1 tip.tif  (red) thresh.tif,5960,2771.393,1729.101,456.777,2725,1680,95,96,89.537,84.75299999999999,171.375,102.57700000000001,255,100,2740,1682,119.814,93.48200000000001,0.6535
259,260,hfd28 ep1 tip.tif  (red) thresh.tif,7490,2547.576,1741.9,721.914,2490,1686,115,114,112.11,85.065,42.406000000000006,142.762,255,100,2511,1796,50.4,97.134,0.5713
260,261,hfd28 ep1 tip.tif  (red) thresh.tif,3404,3994.159,1724.245,489.404,3950,1688,91,73,87.181,49.714,167.593,97.693,255,100,3951,1701,157.109,68.02199999999999,0.5124
261,262,hfd28 ep1 tip.tif  (red) thresh.tif,3073,2149.315,1730.2420000000002,343.865,2115,1697,77,66,65.84,59.427,67.962,77.318,255,100,2115,1741,5.194,66.0,0.6047
262,263,hfd28 ep1 tip.tif  (red) thresh.tif,6229,2320.6839999999997,1755.634,563.487,2269,1704,113,102,95.241,83.273,31.342,113.35799999999999,255,100,2269,1752,175.446,90.603,0.5404
263,264,hfd28 ep1 tip.tif  (red) thresh.tif,5421,1566.8410000000001,1796.816,435.647,1522,1749,88,104,96.391,71.60600000000001,67.406,107.912,255,100,1562,1853,69.382,82.005,0.5923
264,265,hfd28 ep1 tip.tif  (red) thresh.tif,3976,2857.284,1795.406,394.534,2812,1754,88,84,86.99600000000001,58.191,140.846,95.525,255,100,2818,1769,149.139,66.187,0.5379
265,266,hfd28 ep1 tip.tif  (red) thresh.tif,4410,3032.132,1800.639,516.2330000000001,2989,1755,92,89,90.486,62.053999999999995,122.03200000000001,104.86200000000001,255,100,2995,1762,145.09799999999998,72.694,0.5386
